event_id,event_date,landslide_category,landslide_trigger,landslide_size,landslide_setting,latitude,longitude,fatality_count,state
5431,09/01/2013 12:00:00 AM,mudslide,continuous_rain,medium,unknown,24.9829,93.5063,0.0,Assam
3672,06/29/2011 12:00:00 AM,landslide,downpour,medium,unknown,25.5125,93.3613,0.0,Assam
2253,08/15/2010 11:00:00 PM,landslide,downpour,medium,unknown,25.31006064,94.48265093,0.0,Manipur
1108,08/20/2009 12:00:00 AM,landslide,downpour,medium,unknown,24.9925,93.5,0.0,Assam
6105,06/26/2014 11:00:00 PM,landslide,continuous_rain,medium,above_road,28.9205,95.3429,0.0,Arunachal Pradesh
9168,06/12/2016 11:00:00 PM,landslide,downpour,medium,above_road,27.6438,93.871,0.0,Arunachal Pradesh
3560,05/31/2011 02:30:00 PM,landslide,downpour,medium,unknown,24.8286,93.5935,2.0,Manipur
587,06/15/2008 12:00:00 AM,landslide,downpour,medium,unknown,27.2298,94.0989,17.0,Assam
8012,09/06/2015 03:00:00 PM,landslide,unknown,medium,above_road,25.9703,91.8584,0.0,Meghalaya
7335,08/18/2015 09:00:00 AM,landslide,continuous_rain,medium,urban,25.5145,90.2023,0.0,Meghalaya
141,07/26/2007 12:00:00 AM,landslide,rain,medium,unknown,25.38,91.88,,Meghalaya
3983,09/23/2011 12:00:00 AM,landslide,downpour,large,unknown,26.1548,91.7351,4.0,Assam
148,07/30/2007 12:00:00 AM,landslide,downpour,medium,unknown,22.479,92.967,,Mizoram
1775,04/21/2010 12:00:00 AM,landslide,downpour,medium,unknown,27.8965,96.1779,12.0,Arunachal Pradesh
3663,06/28/2011 12:00:00 AM,landslide,downpour,medium,unknown,25.6682,94.1099,0.0,Nagaland
7385,08/01/2015 12:00:00 AM,landslide,continuous_rain,medium,unknown,24.004,93.9815,0.0,Manipur
2575,10/09/2010 12:00:00 AM,landslide,downpour,medium,unknown,25.5242,92.9914,0.0,Assam
3840,07/25/2011 12:00:00 AM,landslide,downpour,medium,unknown,24.6869,93.9157,0.0,Manipur
6015,05/08/2014 12:00:00 AM,mudslide,rain,medium,above_road,27.9032,96.174,0.0,Arunachal Pradesh
3741,07/07/2011 12:00:00 AM,landslide,rain,medium,unknown,25.4191,94.1079,0.0,Nagaland
2106,07/20/2010 12:00:00 AM,landslide,downpour,medium,unknown,26.8716,94.9921,0.0,Nagaland
9051,07/19/2016 09:00:00 AM,landslide,unknown,medium,natural_slope,26.09748244,91.8744337,0.0,Meghalaya
870,10/29/2008 12:00:00 AM,mudslide,downpour,medium,unknown,27.4,92.35,12.0,Arunachal Pradesh
2392,09/04/2010 12:00:00 AM,landslide,downpour,medium,unknown,27.3702,88.7334,0.0,Sikkim
3830,07/22/2011 12:00:00 AM,landslide,downpour,small,unknown,24.3527,94.3429,0.0,Manipur
4906,06/07/2013 12:00:00 AM,landslide,unknown,medium,unknown,26.0977,94.7499,,Nagaland
3269,03/22/2011 12:00:00 AM,landslide,downpour,medium,unknown,28.0791,96.5242,0.0,Arunachal Pradesh
1755,04/17/2010 03:00:00 PM,landslide,downpour,small,unknown,27.3341,88.6083,0.0,Sikkim
6990,06/24/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,26.0319,94.5466,0.0,Nagaland
6222,10/01/2014 11:00:00 AM,landslide,unknown,small,above_road,27.1249,93.7706,5.0,Arunachal Pradesh
9169,06/12/2016 12:00:00 AM,landslide,continuous_rain,unknown,above_road,26.1677,94.2442,0.0,Nagaland
4435,06/25/2012 12:00:00 AM,landslide,downpour,large,unknown,27.174,95.8011,,Arunachal Pradesh
4313,04/08/2012 12:00:00 AM,landslide,downpour,medium,unknown,28.4659,95.86,0.0,Arunachal Pradesh
2344,08/27/2010 04:30:00 PM,landslide,downpour,medium,unknown,24.7505,93.4221,0.0,Assam
7263,07/22/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,25.4477,94.0489,0.0,Manipur
5271,08/04/2013 12:00:00 AM,landslide,continuous_rain,medium,unknown,26.284,94.5808,,Nagaland
4424,06/20/2012 12:00:00 AM,landslide,downpour,medium,unknown,26.149,91.7351,,Assam
3525,05/22/2011 12:00:00 AM,landslide,downpour,medium,unknown,25.0672,93.4093,0.0,Assam
7369,08/01/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,24.1988,94.1016,0.0,Manipur
4892,06/01/2013 12:00:00 AM,landslide,downpour,large,unknown,27.8776,94.25,,Arunachal Pradesh
4377,06/02/2012 12:00:00 AM,landslide,downpour,large,unknown,26.1475,91.7356,,Assam
5430,09/01/2013 12:00:00 AM,mudslide,continuous_rain,medium,unknown,24.9037,93.487,0.0,Manipur
7264,07/22/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,25.4538,93.9827,0.0,Manipur
5006,07/01/2013 12:00:00 AM,landslide,downpour,medium,unknown,26.1147,94.3864,0.0,Nagaland
256,09/10/2007 12:00:00 AM,landslide,rain,medium,unknown,27.3425,88.6236,,Sikkim
9335,05/18/2016 08:00:00 AM,landslide,continuous_rain,unknown,unknown,24.5202,92.7239,2.0,Assam
7279,07/24/2015 12:00:00 AM,mudslide,monsoon,medium,other,24.9818,93.5142,0.0,Manipur
6288,09/22/2014 12:00:00 AM,landslide,rain,small,unknown,26.1985,91.7998,0.0,Assam
5087,07/12/2013 12:00:00 AM,landslide,downpour,medium,unknown,25.6269,94.1139,0.0,Nagaland
258,09/11/2007 12:00:00 AM,landslide,rain,medium,unknown,24.4279,94.0564,3.0,Manipur
5338,08/16/2013 12:00:00 AM,landslide,rain,medium,unknown,26.8727,94.9275,,Assam
2411,09/10/2010 12:00:00 AM,landslide,downpour,medium,unknown,27.0011,93.7273,0.0,Arunachal Pradesh
6143,07/14/2014 06:00:00 PM,landslide,downpour,medium,unknown,23.7327,92.7463,1.0,Mizoram
4908,06/08/2013 05:00:00 PM,landslide,downpour,medium,unknown,27.3721,88.708,0.0,Sikkim
9124,07/19/2016 12:00:00 AM,translational_slide,continuous_rain,large,natural_slope,25.203,90.5573,0.0,Meghalaya
2282,08/19/2010 06:30:00 AM,landslide,downpour,medium,unknown,26.1984,94.8158,0.0,Nagaland
9338,05/18/2016 08:00:00 AM,landslide,continuous_rain,medium,natural_slope,24.4638,92.4943,5.0,Assam
2421,09/13/2010 09:00:00 AM,landslide,downpour,medium,above_road,23.75406693,92.74128531,,Mizoram
2249,08/14/2010 12:00:00 AM,landslide,downpour,medium,unknown,26.0814,94.803,0.0,Nagaland
8901,07/10/2016 12:00:00 AM,landslide,downpour,medium,above_road,25.7902,94.1318,0.0,Nagaland
2283,08/19/2010 12:00:00 AM,mudslide,downpour,medium,unknown,24.8961,93.4957,0.0,Manipur
4552,09/14/2012 12:00:00 AM,landslide,downpour,medium,unknown,27.0377,88.3603,,Sikkim
6016,05/09/2014 11:00:00 PM,landslide,rain,small,unknown,24.8669,92.3576,7.0,Assam
215,08/28/2007 12:00:00 AM,landslide,rain,medium,unknown,25.7428,93.9136,1.0,Nagaland
7780,08/26/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,23.3572,92.7878,1.0,Mizoram
2281,08/19/2010 06:00:00 PM,landslide,downpour,medium,above_road,25.61560252,94.11603493,,Nagaland
1996,06/17/2010 07:30:00 PM,landslide,downpour,medium,unknown,26.4333,94.8833,0.0,Nagaland
6283,09/22/2014 12:00:00 AM,landslide,rain,small,unknown,26.1314,91.7548,0.0,Assam
8930,07/11/2016 11:00:00 PM,landslide,unknown,large,unknown,26.1699,94.4922,0.0,Nagaland
869,10/29/2008 12:00:00 AM,landslide,downpour,medium,unknown,27.2333,94.1167,,Assam
285,09/29/2007 12:00:00 AM,landslide,rain,medium,unknown,24.1293,92.6921,,Mizoram
3662,06/28/2011 12:00:00 AM,landslide,rain,medium,below_road,25.03561729,94.0144205,,Manipur
5427,08/15/2013 12:00:00 AM,landslide,downpour,medium,unknown,25.3833,94.1884,,Nagaland
8339,09/23/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,26.1666,91.7042,0.0,Assam
4905,06/07/2013 12:00:00 AM,landslide,unknown,medium,unknown,26.0977,94.7031,,Nagaland
9186,07/25/2016 12:30:00 PM,landslide,continuous_rain,medium,above_road,25.48,94.1383,0.0,Manipur
5107,07/15/2013 12:00:00 AM,landslide,rain,medium,unknown,25.6269,94.1139,0.0,Nagaland
7253,07/22/2015 12:00:00 AM,landslide,continuous_rain,medium,urban,24.7979,92.9974,5.0,Assam
6286,09/22/2014 12:00:00 AM,landslide,rain,small,unknown,26.1044,91.7082,0.0,Assam
594,06/19/2008 12:00:00 AM,mudslide,monsoon,medium,unknown,24.9336,93.8275,,Manipur
5337,08/16/2013 12:00:00 AM,landslide,rain,medium,unknown,26.4205,94.9731,,Nagaland
3881,08/05/2011 12:00:00 AM,landslide,downpour,medium,unknown,27.1034,93.6885,0.0,Arunachal Pradesh
3925,08/15/2011 12:00:00 AM,landslide,downpour,medium,unknown,27.4888,93.0153,0.0,Arunachal Pradesh
7383,08/01/2015 12:00:00 AM,landslide,rain,medium,unknown,23.899,94.1434,0.0,Manipur
8900,07/07/2016 12:00:00 AM,landslide,monsoon,large,above_road,25.0118,94.3136,0.0,Manipur
4757,02/18/2013 12:00:00 AM,landslide,rain,medium,unknown,28.1193,95.1645,3.0,Arunachal Pradesh
7666,08/11/2015 12:00:00 AM,landslide,continuous_rain,medium,unknown,25.1019,93.3729,0.0,Manipur
2113,07/21/2010 08:00:00 AM,landslide,downpour,medium,unknown,27.3773,88.559,0.0,Sikkim
2045,07/06/2010 12:00:00 AM,mudslide,monsoon,medium,unknown,26.2363,94.8133,0.0,Nagaland
7701,08/19/2015 03:00:00 PM,landslide,continuous_rain,medium,above_road,25.6278,94.1051,0.0,Nagaland
2422,09/13/2010 12:00:00 AM,landslide,downpour,medium,urban,23.74182634,92.7141905,,Mizoram
6513,08/14/2014 11:00:00 PM,mudslide,downpour,medium,unknown,23.0137,91.7174,3.0,Tripura
4990,06/27/2013 11:00:00 PM,landslide,downpour,medium,unknown,27.3765,88.7628,0.0,Sikkim
2248,08/14/2010 12:00:00 AM,landslide,downpour,medium,unknown,26.222,94.9152,0.0,Nagaland
5268,08/04/2013 12:00:00 AM,landslide,continuous_rain,medium,unknown,26.0137,94.5163,,Nagaland
6106,06/26/2014 11:00:00 PM,landslide,continuous_rain,small,unknown,26.1407,91.7645,3.0,Assam
3965,09/06/2011 08:00:00 AM,landslide,rain,medium,unknown,24.808,93.117,3.0,Assam
6969,06/16/2015 06:15:00 AM,landslide,downpour,medium,urban,25.5114,90.215,4.0,Meghalaya
2044,07/06/2010 12:00:00 AM,mudslide,monsoon,medium,unknown,25.8877,94.7861,0.0,Nagaland
2587,10/10/2010 06:00:00 AM,landslide,downpour,medium,unknown,25.6623,94.1072,0.0,Nagaland
8684,07/07/2016 12:00:00 AM,landslide,continuous_rain,medium,retaining_wall,25.9611,91.3681,2.0,Assam
1596,03/27/2010 08:00:00 PM,mudslide,downpour,medium,unknown,24.7339,93.9161,0.0,Manipur
1771,04/20/2010 12:00:00 AM,landslide,downpour,medium,unknown,26.1978,91.7665,0.0,Assam
7364,07/31/2015 09:00:00 AM,landslide,continuous_rain,medium,below_road,24.819,94.3551,0.0,Manipur
6968,06/13/2015 12:00:00 AM,landslide,continuous_rain,medium,unknown,25.463,92.2121,4.0,Meghalaya
7373,08/01/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,24.9111,94.4759,,Manipur
4570,09/19/2012 12:00:00 AM,landslide,downpour,medium,unknown,27.8458,95.2253,,Arunachal Pradesh
1935,06/03/2010 12:00:00 AM,landslide,downpour,medium,unknown,23.8986,91.7599,0.0,Tripura
2577,10/09/2010 12:00:00 AM,landslide,downpour,medium,unknown,25.5265,93.8673,0.0,Nagaland
7276,07/25/2015 09:00:00 AM,landslide,continuous_rain,medium,natural_slope,26.1062,91.8717,2.0,Assam
2576,10/09/2010 12:00:00 AM,landslide,downpour,medium,unknown,25.4788,94.1399,0.0,Nagaland
6293,10/20/2014 12:00:00 AM,landslide,rain,medium,unknown,25.5006,90.0896,6.0,Meghalaya
4858,05/11/2013 09:00:00 AM,landslide,rain,medium,unknown,26.1662,91.7138,,Assam
5269,08/04/2013 12:00:00 AM,landslide,continuous_rain,medium,unknown,25.8376,94.5234,,Nagaland
5270,08/04/2013 12:00:00 AM,landslide,continuous_rain,medium,unknown,26.0481,94.4619,,Nagaland
6284,09/22/2014 12:00:00 AM,landslide,rain,small,unknown,26.1324,91.8342,0.0,Assam
4394,06/07/2012 04:30:00 AM,landslide,rain,large,unknown,27.1748,88.6458,7.0,Sikkim
9251,07/28/2016 11:00:00 PM,landslide,downpour,medium,retaining_wall,25.8702,94.7844,0.0,Nagaland
7699,08/19/2015 12:00:00 AM,landslide,continuous_rain,medium,unknown,26.0214,94.5224,0.0,Nagaland
7664,08/11/2015 12:00:00 AM,landslide,continuous_rain,medium,unknown,24.7459,93.4251,0.0,Manipur
7589,08/19/2015 12:00:00 AM,landslide,rain,medium,above_road,25.2568,92.3825,0.0,Meghalaya
7887,08/16/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,27.8835,96.9262,0.0,Arunachal Pradesh
9404,05/01/2016 12:00:00 AM,landslide,downpour,medium,above_road,28.0822,96.5316,0.0,Arunachal Pradesh
6287,09/22/2014 12:00:00 AM,landslide,rain,small,unknown,26.1295,91.7056,0.0,Assam
2296,08/20/2010 12:00:00 AM,complex,downpour,medium,unknown,27.167,88.3652,0.0,Sikkim
2304,08/21/2010 06:00:00 PM,landslide,downpour,medium,unknown,25.5718,94.1211,0.0,Nagaland
5273,08/04/2013 12:00:00 AM,landslide,monsoon,medium,unknown,26.1807,94.5497,,Nagaland
1125,08/26/2009 12:00:00 AM,landslide,rain,medium,unknown,27.3746,88.7648,,Sikkim
8995,07/14/2016 12:00:00 AM,landslide,monsoon,small,unknown,26.1963,91.8074,1.0,Assam
2567,10/08/2010 12:00:00 AM,complex,downpour,medium,unknown,25.6633,94.4703,0.0,Manipur
3794,07/17/2011 12:00:00 AM,landslide,rain,medium,above_road,26.99195749,88.42280921,,Sikkim
6285,09/22/2014 12:00:00 AM,landslide,rain,small,above_road,26.159,91.8178,0.0,Assam
868,10/29/2008 12:00:00 AM,landslide,downpour,medium,unknown,26.3333,91.25,7.0,Assam
5005,07/01/2013 12:00:00 AM,landslide,downpour,medium,unknown,26.72,95.029,0.0,Nagaland
3860,07/29/2011 12:00:00 AM,landslide,rain,medium,unknown,25.4192,94.108,0.0,Nagaland
5476,09/07/2013 03:00:00 PM,landslide,rain,medium,unknown,27.3736,88.7323,0.0,Sikkim
1127,08/27/2009 12:00:00 AM,landslide,downpour,medium,unknown,25.1718,93.123,,Assam
5603,10/13/2013 07:30:00 PM,mudslide,downpour,medium,unknown,25.426,94.6024,0.0,Manipur
2042,07/06/2010 12:00:00 AM,mudslide,monsoon,medium,unknown,26.0093,94.5238,0.0,Nagaland
5442,09/02/2013 12:00:00 AM,landslide,downpour,large,unknown,27.1614,93.7525,,Arunachal Pradesh
7933,09/01/2015 12:00:00 AM,rock_fall,rain,medium,unknown,26.1868,91.6739,2.0,Assam
3637,06/21/2011 12:00:00 AM,landslide,rain,medium,deforested_slope,25.51614662,94.2341227,,Nagaland
3837,07/24/2011 12:30:00 PM,landslide,downpour,medium,unknown,26.5836,93.0038,0.0,Assam
220,08/31/2007 12:00:00 AM,landslide,rain,medium,unknown,25.1333,93.9667,,Manipur
212,08/26/2007 12:00:00 AM,complex,rain,medium,unknown,25.5576,91.8506,,Meghalaya
7372,07/31/2015 11:00:00 PM,mudslide,continuous_rain,medium,above_road,25.0634,94.3415,0.0,Manipur
2570,10/08/2010 12:00:00 AM,landslide,downpour,medium,unknown,24.837,93.9128,0.0,Manipur
126,07/16/2007 12:00:00 AM,mudslide,rain,medium,unknown,27.1499,88.38,,Sikkim
1168,09/17/2009 12:00:00 AM,landslide,rain,medium,unknown,27.1954,88.6115,,Sikkim
3806,07/19/2011 12:00:00 AM,landslide,downpour,medium,unknown,27.1032,93.6884,3.0,Arunachal Pradesh
2026,06/28/2010 12:00:00 AM,landslide,downpour,medium,unknown,25.4916,91.2698,0.0,Meghalaya
714,08/14/2008 12:00:00 AM,landslide,rain,medium,unknown,27.163,94.0,,Assam
6110,06/27/2014 12:00:00 AM,landslide,rain,small,unknown,26.1619,91.7697,3.0,Assam
247,09/08/2007 12:00:00 AM,landslide,rain,medium,unknown,25.0604,93.9877,,Manipur
4407,06/13/2012 12:00:00 AM,landslide,downpour,medium,unknown,25.0951,92.3567,,Assam
3789,07/16/2011 12:00:00 AM,landslide,downpour,medium,unknown,27.2743,92.9064,0.0,Arunachal Pradesh
6292,09/23/2014 12:00:00 AM,landslide,continuous_rain,small,unknown,25.7238,89.9032,1.0,Assam
545,05/20/2008 12:00:00 AM,mudslide,mining,medium,unknown,24.9849,92.8411,5.0,Assam
7265,07/22/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,25.5007,93.9854,0.0,Manipur
2436,09/16/2010 03:00:00 AM,landslide,downpour,medium,unknown,24.3069,93.125,0.0,Mizoram
7727,08/20/2015 06:00:00 PM,landslide,continuous_rain,medium,below_road,25.6263,94.1057,0.0,Nagaland
7334,08/18/2015 12:00:00 AM,landslide,unknown,medium,unknown,28.1737,94.7596,1.0,Arunachal Pradesh
6200,08/17/2014 12:00:00 AM,landslide,downpour,large,unknown,27.0869,93.6086,0.0,Arunachal Pradesh
7778,08/26/2015 12:00:00 AM,mudslide,continuous_rain,medium,above_road,23.8447,93.0514,0.0,Mizoram
6290,09/23/2014 03:00:00 AM,landslide,continuous_rain,small,urban,25.5772,91.8666,8.0,Meghalaya
4408,06/13/2012 12:00:00 AM,landslide,downpour,medium,unknown,25.5498,92.0757,,Meghalaya
4403,06/10/2012 12:00:00 AM,landslide,downpour,very_large,unknown,24.8142,93.5444,,Manipur
5429,09/01/2013 06:00:00 PM,landslide,downpour,medium,unknown,27.3425,88.2426,5.0,Sikkim
2140,07/25/2010 12:00:00 AM,landslide,downpour,medium,unknown,25.0477,92.801,0.0,Assam
2243,08/13/2010 12:00:00 AM,landslide,downpour,medium,mine,25.70223725,94.04619681,0.0,Nagaland
9142,06/14/2016 08:00:00 AM,landslide,continuous_rain,medium,retaining_wall,26.3185,94.5247,0.0,Nagaland
6107,06/26/2014 11:00:00 PM,landslide,continuous_rain,small,unknown,26.1844,91.7896,1.0,Assam
255,09/10/2007 12:00:00 AM,landslide,rain,medium,unknown,24.2451,94.0691,,Manipur
7660,08/12/2015 12:00:00 AM,mudslide,continuous_rain,medium,below_road,25.6237,94.1136,0.0,Nagaland
4556,09/16/2012 12:00:00 AM,landslide,downpour,medium,unknown,27.1675,88.3651,,Sikkim
7389,08/01/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,24.4072,94.0644,0.0,Manipur
2437,09/16/2010 12:00:00 AM,landslide,downpour,medium,unknown,23.7527,92.694,0.0,Mizoram
731,08/19/2008 12:00:00 AM,mudslide,downpour,medium,unknown,26.138,94.25,4.0,Nagaland
7371,08/01/2015 12:00:00 AM,landslide,continuous_rain,medium,unknown,23.9939,94.0573,0.0,Manipur
7923,09/01/2015 12:00:00 AM,landslide,rain,medium,unknown,26.49349035,91.72137514,2.0,Assam
760,08/29/2008 12:00:00 AM,complex,downpour,medium,unknown,25.67,94.1066,,Nagaland
2182,07/31/2010 09:00:00 AM,landslide,rain,medium,unknown,24.9356,93.8443,0.0,Manipur
1954,06/07/2010 12:00:00 AM,landslide,rain,medium,unknown,24.7543,93.5039,0.0,Manipur
6963,06/19/2015 12:00:00 AM,landslide,rain,medium,natural_slope,23.7131,92.7362,0.0,Mizoram
5336,08/16/2013 12:00:00 AM,landslide,rain,medium,unknown,26.3897,94.9439,,Nagaland
7590,08/19/2015 12:00:00 AM,landslide,rain,small,unknown,25.1416,92.3807,0.0,Meghalaya
1222,10/05/2009 12:00:00 AM,landslide,downpour,medium,urban,23.73478778,92.72124394,3.0,Mizoram
8222,06/22/2016 12:00:00 PM,mudslide,downpour,medium,natural_slope,26.1961,91.7825,1.0,Assam
7706,08/19/2015 12:00:00 AM,landslide,rain,medium,above_road,25.0728,92.3636,0.0,Meghalaya
9620,10/15/2016 12:00:00 AM,landslide,downpour,medium,above_road,27.172,88.5292,0.0,Sikkim
8224,09/14/2015 01:30:00 AM,landslide,downpour,medium,above_road,23.7313,92.7187,0.0,Mizoram
4241,03/04/2012 12:00:00 AM,landslide,unknown,medium,unknown,25.1604,93.6795,0.0,Manipur
755,08/28/2008 12:00:00 AM,landslide,downpour,medium,unknown,27.337,88.609,,Sikkim
1756,04/17/2010 12:00:00 AM,landslide,downpour,small,unknown,27.322,88.6087,0.0,Sikkim
1930,05/31/2010 12:00:00 AM,landslide,downpour,medium,unknown,28.4298,95.8776,0.0,Arunachal Pradesh
9334,05/18/2016 08:00:00 AM,landslide,continuous_rain,unknown,unknown,24.5204,92.7264,2.0,Assam
8237,07/01/2016 12:00:00 AM,landslide,downpour,large,unknown,27.0136,92.6351,5.0,Arunachal Pradesh
585,06/14/2008 12:00:00 AM,landslide,rain,large,unknown,27.0998,93.6287,21.0,Arunachal Pradesh
4859,05/11/2013 12:00:00 AM,landslide,rain,medium,unknown,26.1771,91.7599,,Assam
4436,06/25/2012 12:00:00 AM,landslide,downpour,medium,unknown,26.9986,95.4993,,Arunachal Pradesh
3916,08/13/2011 08:00:00 AM,mudslide,downpour,medium,unknown,25.7713,93.8067,0.0,Assam
5250,08/01/2013 12:00:00 AM,mudslide,rain,medium,unknown,27.8837,93.0515,,Arunachal Pradesh
3805,07/19/2011 12:00:00 AM,landslide,rain,medium,above_road,27.05374234,88.42572376,0.0,Sikkim
3738,07/06/2011 12:00:00 AM,landslide,downpour,medium,unknown,24.8063,93.9482,6.0,Manipur
2426,09/13/2010 12:00:00 AM,landslide,downpour,medium,unknown,22.7176,92.8416,0.0,Mizoram
1084,08/12/2009 12:00:00 AM,landslide,downpour,medium,unknown,27.7,92.8,0.0,Arunachal Pradesh
7266,07/22/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,25.5098,93.8794,0.0,Manipur
1129,08/30/2009 12:00:00 AM,landslide,downpour,medium,unknown,24.8628,94.4182,,Manipur
2166,07/29/2010 12:00:00 AM,landslide,downpour,medium,unknown,24.9786,93.5027,0.0,Assam
213,08/26/2007 12:00:00 AM,landslide,rain,medium,unknown,25.2946,92.8339,,Assam
4426,06/22/2012 12:00:00 AM,landslide,downpour,medium,unknown,26.1226,91.7162,3.0,Assam
8366,09/23/2015 03:00:00 PM,landslide,downpour,medium,natural_slope,25.583,91.893,2.0,Meghalaya
1934,06/03/2010 05:00:00 AM,landslide,downpour,medium,unknown,24.6005,92.3814,2.0,Assam
7655,04/22/2016 02:30:00 AM,landslide,continuous_rain,medium,above_road,27.5799,91.8569,17.0,Arunachal Pradesh
9464,08/05/2016 12:00:00 AM,landslide,downpour,medium,unknown,27.5754,91.9754,0.0,Arunachal Pradesh
3912,08/12/2011 12:00:00 AM,landslide,rain,medium,unknown,27.44,92.2833,0.0,Arunachal Pradesh
5272,08/04/2013 12:00:00 AM,landslide,monsoon,medium,unknown,26.2083,94.5438,,Nagaland
580,06/09/2008 12:00:00 AM,landslide,monsoon,medium,unknown,24.6596,93.9784,,Manipur
5575,10/05/2013 11:00:00 PM,mudslide,continuous_rain,medium,unknown,25.8266,94.1497,0.0,Nagaland
8996,07/14/2016 12:00:00 AM,landslide,monsoon,small,natural_slope,26.1768,91.7702,1.0,Assam
1613,04/02/2010 11:00:00 PM,mudslide,downpour,large,unknown,27.8997,93.3497,12.0,Arunachal Pradesh
7138,07/07/2015 12:00:00 AM,landslide,continuous_rain,small,above_road,27.0816,88.4397,0.0,Sikkim
4857,05/11/2013 09:00:00 AM,landslide,rain,large,unknown,23.7281,92.7175,15.0,Mizoram
6945,06/19/2015 12:00:00 AM,landslide,monsoon,medium,above_road,25.16,93.686,0.0,Manipur
1857,05/11/2010 09:00:00 AM,landslide,downpour,medium,unknown,25.3433,92.2897,0.0,Meghalaya
2743,11/22/2010 12:00:00 AM,landslide,unknown,medium,natural_slope,27.5798729,91.85672387,,Arunachal Pradesh
4860,05/11/2013 12:00:00 AM,landslide,rain,medium,unknown,26.1016,91.6906,,Assam
4845,05/07/2013 12:00:00 AM,mudslide,rain,medium,unknown,24.2315,92.6755,,Mizoram
1770,04/20/2010 12:00:00 AM,landslide,downpour,medium,unknown,26.1965,91.763,0.0,Assam
7728,08/22/2015 09:00:00 AM,landslide,continuous_rain,medium,above_road,26.1028,91.8806,0.0,Assam
5274,08/04/2013 12:00:00 AM,landslide,rain,medium,unknown,26.0838,94.564,,Nagaland
7836,08/27/2015 12:00:00 AM,landslide,downpour,medium,above_road,24.042,92.6724,0.0,Mizoram
3776,07/15/2011 06:00:00 PM,landslide,downpour,small,unknown,27.125,93.7145,0.0,Arunachal Pradesh
4798,04/07/2013 12:00:00 AM,landslide,rain,medium,unknown,28.8254,96.1509,,Arunachal Pradesh
7388,08/01/2015 12:00:00 AM,landslide,continuous_rain,medium,unknown,24.416,94.0984,0.0,Manipur
5421,08/30/2013 12:00:00 AM,mudslide,unknown,medium,unknown,26.4205,94.9731,,Nagaland
2343,08/27/2010 04:30:00 PM,landslide,downpour,medium,unknown,25.4786,94.1327,0.0,Nagaland
