event_id,event_date,landslide_category,landslide_trigger,landslide_size,landslide_setting,latitude,longitude,fatality_count,state,elevation_m,rainfall_mm,soil_moisture
1775,2010-04-21 00:00:00,landslide,downpour,medium,unknown,27.8965,96.1779,12.0,Arunachal Pradesh,202.0,36.5,0.481625
3663,2011-06-28 00:00:00,landslide,downpour,medium,unknown,25.6682,94.1099,0.0,Nagaland,1439.0,31.6,0.479083
7385,2015-08-01 00:00:00,landslide,continuous_rain,medium,unknown,24.004,93.9815,0.0,Manipur,1496.0,209.3,0.43125
2575,2010-10-09 00:00:00,landslide,downpour,medium,unknown,25.5242,92.9914,0.0,Assam,147.0,51.7,0.48225
3840,2011-07-25 00:00:00,landslide,downpour,medium,unknown,24.6869,93.9157,0.0,Manipur,772.0,5.3,0.428625
6015,2014-05-08 00:00:00,mudslide,rain,medium,above_road,27.9032,96.174,0.0,Arunachal Pradesh,197.0,29.4,0.486042
3741,2011-07-07 00:00:00,landslide,rain,medium,unknown,25.4191,94.1079,0.0,Nagaland,1395.0,7.5,0.49375
2106,2010-07-20 00:00:00,landslide,downpour,medium,unknown,26.8716,94.9921,0.0,Nagaland,288.0,46.3,0.487042
9051,2016-07-19 09:00:00,landslide,unknown,medium,natural_slope,26.09748244,91.8744337,0.0,Meghalaya,188.0,26.0,0.478458
870,2008-10-29 00:00:00,mudslide,downpour,medium,unknown,27.4,92.35,12.0,Arunachal Pradesh,2628.0,12.2,0.420708
2392,2010-09-04 00:00:00,landslide,downpour,medium,unknown,27.3702,88.7334,0.0,Sikkim,3520.0,15.8,0.425875
3830,2011-07-22 00:00:00,landslide,downpour,small,unknown,24.3527,94.3429,0.0,Manipur,285.0,14.5,0.44675
4906,2013-06-07 00:00:00,landslide,unknown,medium,unknown,26.0977,94.7499,,Nagaland,1538.0,6.3,0.467875
3269,2011-03-22 00:00:00,landslide,downpour,medium,unknown,28.0791,96.5242,0.0,Arunachal Pradesh,554.0,97.7,0.425708
1755,2010-04-17 15:00:00,landslide,downpour,small,unknown,27.3341,88.6083,0.0,Sikkim,1418.0,3.2,0.388208
6990,2015-06-24 00:00:00,landslide,continuous_rain,medium,above_road,26.0319,94.5466,0.0,Nagaland,1581.0,32.9,0.471458
6222,2014-10-01 11:00:00,landslide,unknown,small,above_road,27.1249,93.7706,5.0,Arunachal Pradesh,151.0,0.0,0.349625
9169,2016-06-12 00:00:00,landslide,continuous_rain,unknown,above_road,26.1677,94.2442,0.0,Nagaland,754.0,4.9,0.48325
4435,2012-06-25 00:00:00,landslide,downpour,large,unknown,27.174,95.8011,,Arunachal Pradesh,295.0,43.4,0.48
4313,2012-04-08 00:00:00,landslide,downpour,medium,unknown,28.4659,95.86,0.0,Arunachal Pradesh,1026.0,25.9,0.424792
2344,2010-08-27 16:30:00,landslide,downpour,medium,unknown,24.7505,93.4221,0.0,Assam,772.0,6.0,0.418542
7263,2015-07-22 00:00:00,landslide,continuous_rain,medium,above_road,25.4477,94.0489,0.0,Manipur,1287.0,31.4,0.428542
5271,2013-08-04 00:00:00,landslide,continuous_rain,medium,unknown,26.284,94.5808,,Nagaland,728.0,3.8,0.490167
4424,2012-06-20 00:00:00,landslide,downpour,medium,unknown,26.149,91.7351,,Assam,52.0,35.2,0.482292
3525,2011-05-22 00:00:00,landslide,downpour,medium,unknown,25.0672,93.4093,0.0,Assam,460.0,17.6,0.426042
7369,2015-08-01 00:00:00,landslide,continuous_rain,medium,above_road,24.1988,94.1016,0.0,Manipur,1345.0,164.5,0.428042
4892,2013-06-01 00:00:00,landslide,downpour,large,unknown,27.8776,94.25,,Arunachal Pradesh,993.0,24.3,0.425333
4377,2012-06-02 00:00:00,landslide,downpour,large,unknown,26.1475,91.7356,,Assam,52.0,11.5,0.487625
5430,2013-09-01 00:00:00,mudslide,continuous_rain,medium,unknown,24.9037,93.487,0.0,Manipur,1272.0,1.0,0.396958
7264,2015-07-22 00:00:00,landslide,continuous_rain,medium,above_road,25.4538,93.9827,0.0,Manipur,1779.0,31.4,0.440167
5006,2013-07-01 00:00:00,landslide,downpour,medium,unknown,26.1147,94.3864,0.0,Nagaland,362.0,30.8,0.484167
256,2007-09-10 00:00:00,landslide,rain,medium,unknown,27.3425,88.6236,,Sikkim,2102.0,78.4,0.428958
9335,2016-05-18 08:00:00,landslide,continuous_rain,unknown,unknown,24.5202,92.7239,2.0,Assam,39.0,34.2,0.420167
7279,2015-07-24 00:00:00,mudslide,monsoon,medium,other,24.9818,93.5142,0.0,Manipur,1238.0,19.7,0.427375
6288,2014-09-22 00:00:00,landslide,rain,small,unknown,26.1985,91.7998,0.0,Assam,92.0,20.9,0.484958
5087,2013-07-12 00:00:00,landslide,downpour,medium,unknown,25.6269,94.1139,0.0,Nagaland,1558.0,14.6,0.487333
258,2007-09-11 00:00:00,landslide,rain,medium,unknown,24.4279,94.0564,3.0,Manipur,885.0,1.9,0.431875
5338,2013-08-16 00:00:00,landslide,rain,medium,unknown,26.8727,94.9275,,Assam,128.0,30.2,0.443458
2411,2010-09-10 00:00:00,landslide,downpour,medium,unknown,27.0011,93.7273,0.0,Arunachal Pradesh,109.0,15.3,0.420333
6143,2014-07-14 18:00:00,landslide,downpour,medium,unknown,23.7327,92.7463,1.0,Mizoram,846.0,19.4,0.425458
4908,2013-06-08 17:00:00,landslide,downpour,medium,unknown,27.3721,88.708,0.0,Sikkim,3172.0,15.6,0.4285
9124,2016-07-19 00:00:00,translational_slide,continuous_rain,large,natural_slope,25.203,90.5573,0.0,Meghalaya,128.0,38.9,0.465833
2282,2010-08-19 06:30:00,landslide,downpour,medium,unknown,26.1984,94.8158,0.0,Nagaland,1849.0,27.7,0.478708
9338,2016-05-18 08:00:00,landslide,continuous_rain,medium,natural_slope,24.4638,92.4943,5.0,Assam,90.0,45.0,0.42725
2421,2010-09-13 09:00:00,landslide,downpour,medium,above_road,23.75406693,92.74128531,,Mizoram,994.0,8.3,0.419833
2249,2010-08-14 00:00:00,landslide,downpour,medium,unknown,26.0814,94.803,0.0,Nagaland,953.0,12.1,0.4845
8901,2016-07-10 00:00:00,landslide,downpour,medium,above_road,25.7902,94.1318,0.0,Nagaland,1285.0,3.7,0.477583
2283,2010-08-19 00:00:00,mudslide,downpour,medium,unknown,24.8961,93.4957,0.0,Manipur,1049.0,4.7,0.418625
4552,2012-09-14 00:00:00,landslide,downpour,medium,unknown,27.0377,88.3603,,Sikkim,1504.0,78.5,0.426083
6016,2014-05-09 23:00:00,landslide,rain,small,unknown,24.8669,92.3576,7.0,Assam,18.0,53.9,0.480875
215,2007-08-28 00:00:00,landslide,rain,medium,unknown,25.7428,93.9136,1.0,Nagaland,452.0,61.0,0.465833
7780,2015-08-26 00:00:00,landslide,continuous_rain,medium,above_road,23.3572,92.7878,1.0,Mizoram,1372.0,5.2,0.414958
2281,2010-08-19 18:00:00,landslide,downpour,medium,above_road,25.61560252,94.11603493,,Nagaland,1634.0,13.1,0.478833
1996,2010-06-17 19:30:00,landslide,downpour,medium,unknown,26.4333,94.8833,0.0,Nagaland,535.0,15.6,0.480958
6283,2014-09-22 00:00:00,landslide,rain,small,unknown,26.1314,91.7548,0.0,Assam,81.0,20.9,0.482375
8930,2016-07-11 23:00:00,landslide,unknown,large,unknown,26.1699,94.4922,0.0,Nagaland,1134.0,10.2,0.48225
869,2008-10-29 00:00:00,landslide,downpour,medium,unknown,27.2333,94.1167,,Assam,91.0,0.7,0.355417
285,2007-09-29 00:00:00,landslide,rain,medium,unknown,24.1293,92.6921,,Mizoram,825.0,4.7,0.422208
3662,2011-06-28 00:00:00,landslide,rain,medium,below_road,25.03561729,94.0144205,,Manipur,873.0,8.0,0.475708
5427,2013-08-15 00:00:00,landslide,downpour,medium,unknown,25.3833,94.1884,,Nagaland,1683.0,19.8,0.462625
8339,2015-09-23 00:00:00,landslide,continuous_rain,medium,above_road,26.1666,91.7042,0.0,Assam,231.0,24.2,0.464708
4905,2013-06-07 00:00:00,landslide,unknown,medium,unknown,26.0977,94.7031,,Nagaland,1682.0,6.3,0.467875
9186,2016-07-25 12:30:00,landslide,continuous_rain,medium,above_road,25.48,94.1383,0.0,Manipur,1721.0,16.7,0.48875
5107,2013-07-15 00:00:00,landslide,rain,medium,unknown,25.6269,94.1139,0.0,Nagaland,1558.0,14.6,0.470875
7253,2015-07-22 00:00:00,landslide,continuous_rain,medium,urban,24.7979,92.9974,5.0,Assam,24.0,47.1,0.4555
6286,2014-09-22 00:00:00,landslide,rain,small,unknown,26.1044,91.7082,0.0,Assam,55.0,22.0,0.481708
594,2008-06-19 00:00:00,mudslide,monsoon,medium,unknown,24.9336,93.8275,,Manipur,1023.0,6.9,0.469583
5337,2013-08-16 00:00:00,landslide,rain,medium,unknown,26.4205,94.9731,,Nagaland,690.0,14.6,0.456
3881,2011-08-05 00:00:00,landslide,downpour,medium,unknown,27.1034,93.6885,0.0,Arunachal Pradesh,147.0,22.7,0.422625
3925,2011-08-15 00:00:00,landslide,downpour,medium,unknown,27.4888,93.0153,0.0,Arunachal Pradesh,524.0,28.6,0.428708
7383,2015-08-01 00:00:00,landslide,rain,medium,unknown,23.899,94.1434,0.0,Manipur,269.0,193.0,0.48925
8900,2016-07-07 00:00:00,landslide,monsoon,large,above_road,25.0118,94.3136,0.0,Manipur,1372.0,5.4,0.415708
4757,2013-02-18 00:00:00,landslide,rain,medium,unknown,28.1193,95.1645,3.0,Arunachal Pradesh,823.0,12.0,0.398792
7666,2015-08-11 00:00:00,landslide,continuous_rain,medium,unknown,25.1019,93.3729,0.0,Manipur,1133.0,23.2,0.467
2113,2010-07-21 08:00:00,landslide,downpour,medium,unknown,27.3773,88.559,0.0,Sikkim,1437.0,64.3,0.428625
2045,2010-07-06 00:00:00,mudslide,monsoon,medium,unknown,26.2363,94.8133,0.0,Nagaland,1560.0,4.2,0.5005
7701,2015-08-19 15:00:00,landslide,continuous_rain,medium,above_road,25.6278,94.1051,0.0,Nagaland,1508.0,20.7,0.477667
2422,2010-09-13 00:00:00,landslide,downpour,medium,urban,23.74182634,92.7141905,,Mizoram,929.0,4.9,0.421458
6513,2014-08-14 23:00:00,mudslide,downpour,medium,unknown,23.0137,91.7174,3.0,Tripura,21.0,11.2,0.472458
4990,2013-06-27 23:00:00,landslide,downpour,medium,unknown,27.3765,88.7628,0.0,Sikkim,3764.0,24.4,0.425667
2248,2010-08-14 00:00:00,landslide,downpour,medium,unknown,26.222,94.9152,0.0,Nagaland,1734.0,26.2,0.442583
5268,2013-08-04 00:00:00,landslide,continuous_rain,medium,unknown,26.0137,94.5163,,Nagaland,1715.0,1.3,0.475167
6106,2014-06-26 23:00:00,landslide,continuous_rain,small,unknown,26.1407,91.7645,3.0,Assam,61.0,27.8,0.491583
3965,2011-09-06 08:00:00,landslide,rain,medium,unknown,24.808,93.117,3.0,Assam,38.0,11.2,0.421042
6969,2015-06-16 06:15:00,landslide,downpour,medium,urban,25.5114,90.215,4.0,Meghalaya,305.0,13.4,0.476208
2044,2010-07-06 00:00:00,mudslide,monsoon,medium,unknown,25.8877,94.7861,0.0,Nagaland,1160.0,4.2,0.502667
2587,2010-10-10 06:00:00,landslide,downpour,medium,unknown,25.6623,94.1072,0.0,Nagaland,1394.0,6.0,0.475167
8684,2016-07-07 00:00:00,landslide,continuous_rain,medium,retaining_wall,25.9611,91.3681,2.0,Assam,187.0,77.7,0.470875
1596,2010-03-27 20:00:00,mudslide,downpour,medium,unknown,24.7339,93.9161,0.0,Manipur,886.0,2.4,0.175833
1771,2010-04-20 00:00:00,landslide,downpour,medium,unknown,26.1978,91.7665,0.0,Assam,92.0,23.5,0.473917
7364,2015-07-31 09:00:00,landslide,continuous_rain,medium,below_road,24.819,94.3551,0.0,Manipur,1615.0,69.4,0.428833
6968,2015-06-13 00:00:00,landslide,continuous_rain,medium,unknown,25.463,92.2121,4.0,Meghalaya,1372.0,163.0,0.465542
7373,2015-08-01 00:00:00,landslide,continuous_rain,medium,above_road,24.9111,94.4759,,Manipur,1804.0,58.8,0.422667
4570,2012-09-19 00:00:00,landslide,downpour,medium,unknown,27.8458,95.2253,,Arunachal Pradesh,134.0,25.7,0.478542
1935,2010-06-03 00:00:00,landslide,downpour,medium,unknown,23.8986,91.7599,0.0,Tripura,212.0,4.6,0.409833
2577,2010-10-09 00:00:00,landslide,downpour,medium,unknown,25.5265,93.8673,0.0,Nagaland,1354.0,27.9,0.428417
7276,2015-07-25 09:00:00,landslide,continuous_rain,medium,natural_slope,26.1062,91.8717,2.0,Assam,247.0,17.1,0.480958
2576,2010-10-09 00:00:00,landslide,downpour,medium,unknown,25.4788,94.1399,0.0,Nagaland,1660.0,25.0,0.452375
6293,2014-10-20 00:00:00,landslide,rain,medium,unknown,25.5006,90.0896,6.0,Meghalaya,48.0,0.3,0.434083
4858,2013-05-11 09:00:00,landslide,rain,medium,unknown,26.1662,91.7138,,Assam,165.0,13.0,0.494167
5269,2013-08-04 00:00:00,landslide,continuous_rain,medium,unknown,25.8376,94.5234,,Nagaland,801.0,1.2,0.482333
5270,2013-08-04 00:00:00,landslide,continuous_rain,medium,unknown,26.0481,94.4619,,Nagaland,856.0,1.3,0.476
6284,2014-09-22 00:00:00,landslide,rain,small,unknown,26.1324,91.8342,0.0,Assam,71.0,20.9,0.482375
4394,2012-06-07 04:30:00,landslide,rain,large,unknown,27.1748,88.6458,7.0,Sikkim,930.0,1.8,0.379292
9251,2016-07-28 23:00:00,landslide,downpour,medium,retaining_wall,25.8702,94.7844,0.0,Nagaland,1129.0,3.6,0.4885
7699,2015-08-19 00:00:00,landslide,continuous_rain,medium,unknown,26.0214,94.5224,0.0,Nagaland,1603.0,10.3,0.486917
7664,2015-08-11 00:00:00,landslide,continuous_rain,medium,unknown,24.7459,93.4251,0.0,Manipur,769.0,11.3,0.414875
7589,2015-08-19 00:00:00,landslide,rain,medium,above_road,25.2568,92.3825,0.0,Meghalaya,802.0,57.0,0.475542
7887,2015-08-16 00:00:00,landslide,continuous_rain,medium,above_road,27.8835,96.9262,0.0,Arunachal Pradesh,956.0,11.8,0.424917
9404,2016-05-01 00:00:00,landslide,downpour,medium,above_road,28.0822,96.5316,0.0,Arunachal Pradesh,543.0,5.5,0.421792
6287,2014-09-22 00:00:00,landslide,rain,small,unknown,26.1295,91.7056,0.0,Assam,130.0,20.9,0.481708
2296,2010-08-20 00:00:00,complex,downpour,medium,unknown,27.167,88.3652,0.0,Sikkim,1516.0,28.3,0.423417
2304,2010-08-21 18:00:00,landslide,downpour,medium,unknown,25.5718,94.1211,0.0,Nagaland,1649.0,4.9,0.499125
5273,2013-08-04 00:00:00,landslide,monsoon,medium,unknown,26.1807,94.5497,,Nagaland,1658.0,3.8,0.494292
1125,2009-08-26 00:00:00,landslide,rain,medium,unknown,27.3746,88.7648,,Sikkim,3751.0,16.9,0.424833
8995,2016-07-14 00:00:00,landslide,monsoon,small,unknown,26.1963,91.8074,1.0,Assam,196.0,10.0,0.492292
2567,2010-10-08 00:00:00,complex,downpour,medium,unknown,25.6633,94.4703,0.0,Manipur,1443.0,23.2,0.489583
3794,2011-07-17 00:00:00,landslide,rain,medium,above_road,26.99195749,88.42280921,,Sikkim,322.0,96.2,0.421792
6285,2014-09-22 00:00:00,landslide,rain,small,above_road,26.159,91.8178,0.0,Assam,68.0,20.9,0.484958
868,2008-10-29 00:00:00,landslide,downpour,medium,unknown,26.3333,91.25,7.0,Assam,42.0,0.0,0.455958
5005,2013-07-01 00:00:00,landslide,downpour,medium,unknown,26.72,95.029,0.0,Nagaland,717.0,33.0,0.473875
3860,2011-07-29 00:00:00,landslide,rain,medium,unknown,25.4192,94.108,0.0,Nagaland,1400.0,14.8,0.472458
5476,2013-09-07 15:00:00,landslide,rain,medium,unknown,27.3736,88.7323,0.0,Sikkim,3454.0,1.5,0.406083
1127,2009-08-27 00:00:00,landslide,downpour,medium,unknown,25.1718,93.123,,Assam,693.0,9.1,0.488292
5603,2013-10-13 19:30:00,mudslide,downpour,medium,unknown,25.426,94.6024,0.0,Manipur,1311.0,0.0,0.370792
2042,2010-07-06 00:00:00,mudslide,monsoon,medium,unknown,26.0093,94.5238,0.0,Nagaland,1828.0,4.4,0.485875
5442,2013-09-02 00:00:00,landslide,downpour,large,unknown,27.1614,93.7525,,Arunachal Pradesh,150.0,12.1,0.420958
7933,2015-09-01 00:00:00,rock_fall,rain,medium,unknown,26.1868,91.6739,2.0,Assam,50.0,87.3,0.472708
3637,2011-06-21 00:00:00,landslide,rain,medium,deforested_slope,25.51614662,94.2341227,,Nagaland,1623.0,20.3,0.4675
3837,2011-07-24 12:30:00,landslide,downpour,medium,unknown,26.5836,93.0038,0.0,Assam,68.0,14.2,0.498083
220,2007-08-31 00:00:00,landslide,rain,medium,unknown,25.1333,93.9667,,Manipur,1009.0,5.1,0.482958
212,2007-08-26 00:00:00,complex,rain,medium,unknown,25.5576,91.8506,,Meghalaya,1669.0,4.2,0.503375
7372,2015-07-31 23:00:00,mudslide,continuous_rain,medium,above_road,25.0634,94.3415,0.0,Manipur,1742.0,52.0,0.453042
2570,2010-10-08 00:00:00,landslide,downpour,medium,unknown,24.837,93.9128,0.0,Manipur,813.0,22.6,0.480625
126,2007-07-16 00:00:00,mudslide,rain,medium,unknown,27.1499,88.38,,Sikkim,1099.0,8.2,0.415958
1168,2009-09-17 00:00:00,landslide,rain,medium,unknown,27.1954,88.6115,,Sikkim,487.0,7.6,0.412458
3806,2011-07-19 00:00:00,landslide,downpour,medium,unknown,27.1032,93.6884,3.0,Arunachal Pradesh,149.0,40.1,0.423792
2026,2010-06-28 00:00:00,landslide,downpour,medium,unknown,25.4916,91.2698,0.0,Meghalaya,1490.0,82.3,0.483333
714,2008-08-14 00:00:00,landslide,rain,medium,unknown,27.163,94.0,,Assam,95.0,8.4,0.412917
6110,2014-06-27 00:00:00,landslide,rain,small,unknown,26.1619,91.7697,3.0,Assam,55.0,29.2,0.489208
247,2007-09-08 00:00:00,landslide,rain,medium,unknown,25.0604,93.9877,,Manipur,1485.0,29.4,0.488667
4407,2012-06-13 00:00:00,landslide,downpour,medium,unknown,25.0951,92.3567,,Assam,246.0,7.9,0.47175
3789,2011-07-16 00:00:00,landslide,downpour,medium,unknown,27.2743,92.9064,0.0,Arunachal Pradesh,695.0,69.6,0.424125
6292,2014-09-23 00:00:00,landslide,continuous_rain,small,unknown,25.7238,89.9032,1.0,Assam,30.0,41.9,0.410458
545,2008-05-20 00:00:00,mudslide,mining,medium,unknown,24.9849,92.8411,5.0,Assam,252.0,24.4,0.441375
7265,2015-07-22 00:00:00,landslide,continuous_rain,medium,above_road,25.5007,93.9854,0.0,Manipur,1437.0,31.4,0.440167
2436,2010-09-16 03:00:00,landslide,downpour,medium,unknown,24.3069,93.125,0.0,Mizoram,719.0,21.8,0.424167
7727,2015-08-20 18:00:00,landslide,continuous_rain,medium,below_road,25.6263,94.1057,0.0,Nagaland,1546.0,40.9,0.47425
7334,2015-08-18 00:00:00,landslide,unknown,medium,unknown,28.1737,94.7596,1.0,Arunachal Pradesh,610.0,31.0,0.429
6200,2014-08-17 00:00:00,landslide,downpour,large,unknown,27.0869,93.6086,0.0,Arunachal Pradesh,312.0,18.1,0.49625
7778,2015-08-26 00:00:00,mudslide,continuous_rain,medium,above_road,23.8447,93.0514,0.0,Mizoram,1053.0,7.5,0.42075
6290,2014-09-23 03:00:00,landslide,continuous_rain,small,urban,25.5772,91.8666,8.0,Meghalaya,1469.0,130.4,0.487375
4408,2012-06-13 00:00:00,landslide,downpour,medium,unknown,25.5498,92.0757,,Meghalaya,1245.0,9.5,0.481042
4403,2012-06-10 00:00:00,landslide,downpour,very_large,unknown,24.8142,93.5444,,Manipur,562.0,6.0,0.411542
5429,2013-09-01 18:00:00,landslide,downpour,medium,unknown,27.3425,88.2426,5.0,Sikkim,1382.0,34.1,0.430125
2140,2010-07-25 00:00:00,landslide,downpour,medium,unknown,25.0477,92.801,0.0,Assam,184.0,8.2,0.461958
2243,2010-08-13 00:00:00,landslide,downpour,medium,mine,25.70223725,94.04619681,0.0,Nagaland,1016.0,22.7,0.4715
9142,2016-06-14 08:00:00,landslide,continuous_rain,medium,retaining_wall,26.3185,94.5247,0.0,Nagaland,1171.0,30.9,0.459167
6107,2014-06-26 23:00:00,landslide,continuous_rain,small,unknown,26.1844,91.7896,1.0,Assam,64.0,27.8,0.477
255,2007-09-10 00:00:00,landslide,rain,medium,unknown,24.2451,94.0691,,Manipur,1349.0,2.1,0.433833
7660,2015-08-12 00:00:00,mudslide,continuous_rain,medium,below_road,25.6237,94.1136,0.0,Nagaland,1610.0,12.2,0.498667
4556,2012-09-16 00:00:00,landslide,downpour,medium,unknown,27.1675,88.3651,,Sikkim,1551.0,73.4,0.43375
7389,2015-08-01 00:00:00,landslide,continuous_rain,medium,above_road,24.4072,94.0644,0.0,Manipur,1148.0,140.3,0.435375
2437,2010-09-16 00:00:00,landslide,downpour,medium,unknown,23.7527,92.694,0.0,Mizoram,793.0,14.1,0.424
731,2008-08-19 00:00:00,mudslide,downpour,medium,unknown,26.138,94.25,4.0,Nagaland,1021.0,25.1,0.477833
7371,2015-08-01 00:00:00,landslide,continuous_rain,medium,unknown,23.9939,94.0573,0.0,Manipur,968.0,209.3,0.465375
7923,2015-09-01 00:00:00,landslide,rain,medium,unknown,26.49349035,91.72137514,2.0,Assam,62.0,51.2,0.486208
760,2008-08-29 00:00:00,complex,downpour,medium,unknown,25.67,94.1066,,Nagaland,1408.0,7.8,0.471
2182,2010-07-31 09:00:00,landslide,rain,medium,unknown,24.9356,93.8443,0.0,Manipur,850.0,5.2,0.473042
1954,2010-06-07 00:00:00,landslide,rain,medium,unknown,24.7543,93.5039,0.0,Manipur,422.0,1.8,0.415917
6963,2015-06-19 00:00:00,landslide,rain,medium,natural_slope,23.7131,92.7362,0.0,Mizoram,879.0,5.5,0.396375
5336,2013-08-16 00:00:00,landslide,rain,medium,unknown,26.3897,94.9439,,Nagaland,514.0,14.6,0.448625
7590,2015-08-19 00:00:00,landslide,rain,small,unknown,25.1416,92.3807,0.0,Meghalaya,172.0,57.0,0.465792
1222,2009-10-05 00:00:00,landslide,downpour,medium,urban,23.73478778,92.72124394,3.0,Mizoram,972.0,19.0,0.426625
8222,2016-06-22 12:00:00,mudslide,downpour,medium,natural_slope,26.1961,91.7825,1.0,Assam,142.0,8.6,0.477917
7706,2015-08-19 00:00:00,landslide,rain,medium,above_road,25.0728,92.3636,0.0,Meghalaya,120.0,66.2,0.465792
9620,2016-10-15 00:00:00,landslide,downpour,medium,above_road,27.172,88.5292,0.0,Sikkim,301.0,4.0,0.391125
8224,2015-09-14 01:30:00,landslide,downpour,medium,above_road,23.7313,92.7187,0.0,Mizoram,1039.0,15.3,0.422792
4241,2012-03-04 00:00:00,landslide,unknown,medium,unknown,25.1604,93.6795,0.0,Manipur,1065.0,0.7,0.297125
755,2008-08-28 00:00:00,landslide,downpour,medium,unknown,27.337,88.609,,Sikkim,1535.0,67.1,0.431833
1756,2010-04-17 00:00:00,landslide,downpour,small,unknown,27.322,88.6087,0.0,Sikkim,1477.0,1.9,0.388208
