event_id,event_date,landslide_category,landslide_trigger,landslide_size,landslide_setting,latitude,longitude,fatality_count,state,elevation_m,rainfall_mm,soil_moisture,slope_percent
5087,2013-07-12 00:00:00,landslide,downpour,medium,unknown,25.6269,94.1139,0.0,Nagaland,1558.0,19.2,,19.954954954954957
5087,2013-07-12 00:00:00,landslide,downpour,medium,unknown,25.6269,94.1139,0.0,Nagaland,1558.0,19.2,,19.954954954954957
258,2007-09-11 00:00:00,landslide,rain,medium,unknown,24.4279,94.0564,3.0,Manipur,885.0,5.2,,2.1621621621621623
5338,2013-08-16 00:00:00,landslide,rain,medium,unknown,26.8727,94.9275,,Assam,128.0,11.3,,0.045045045045045
2411,2010-09-10 00:00:00,landslide,downpour,medium,unknown,27.0011,93.7273,0.0,Arunachal Pradesh,109.0,12.0,,0.1801801801801801
6143,2014-07-14 18:00:00,landslide,downpour,medium,unknown,23.7327,92.7463,1.0,Mizoram,846.0,14.3,,5.540540540540541
4908,2013-06-08 17:00:00,landslide,downpour,medium,unknown,27.3721,88.708,0.0,Sikkim,3172.0,19.4,,55.81081081081081
9124,2016-07-19 00:00:00,translational_slide,continuous_rain,large,natural_slope,25.203,90.5573,0.0,Meghalaya,128.0,26.2,,9.81981981981982
2282,2010-08-19 06:30:00,landslide,downpour,medium,unknown,26.1984,94.8158,0.0,Nagaland,1849.0,33.8,,1.5765765765765765
9338,2016-05-18 08:00:00,landslide,continuous_rain,medium,natural_slope,24.4638,92.4943,5.0,Assam,90.0,24.8,,6.756756756756757
2421,2010-09-13 09:00:00,landslide,downpour,medium,above_road,23.75406693,92.74128531,,Mizoram,994.0,12.9,,4.63963963963964
2249,2010-08-14 00:00:00,landslide,downpour,medium,unknown,26.0814,94.803,0.0,Nagaland,953.0,23.0,,2.2072072072072078
8901,2016-07-10 00:00:00,landslide,downpour,medium,above_road,25.7902,94.1318,0.0,Nagaland,1285.0,16.9,,7.522522522522522
2283,2010-08-19 00:00:00,mudslide,downpour,medium,unknown,24.8961,93.4957,0.0,Manipur,1049.0,4.4,,0.2252252252252252
4552,2012-09-14 00:00:00,landslide,downpour,medium,unknown,27.0377,88.3603,,Sikkim,1504.0,82.7,,22.432432432432435
6016,2014-05-09 23:00:00,landslide,rain,small,unknown,24.8669,92.3576,7.0,Assam,18.0,52.3,,0.09009009009009
215,2007-08-28 00:00:00,landslide,rain,medium,unknown,25.7428,93.9136,1.0,Nagaland,452.0,18.8,,8.378378378378379
7780,2015-08-26 00:00:00,landslide,continuous_rain,medium,above_road,23.3572,92.7878,1.0,Mizoram,1372.0,7.7,,14.90990990990991
2281,2010-08-19 18:00:00,landslide,downpour,medium,above_road,25.61560252,94.11603493,,Nagaland,1634.0,14.0,,23.783783783783782
1996,2010-06-17 19:30:00,landslide,downpour,medium,unknown,26.4333,94.8833,0.0,Nagaland,535.0,29.2,,2.072072072072072
6283,2014-09-22 00:00:00,landslide,rain,small,unknown,26.1314,91.7548,0.0,Assam,81.0,58.2,,0.7657657657657657
8930,2016-07-11 23:00:00,landslide,unknown,large,unknown,26.1699,94.4922,0.0,Nagaland,1134.0,21.9,,8.603603603603602
869,2008-10-29 00:00:00,landslide,downpour,medium,unknown,27.2333,94.1167,,Assam,91.0,0.0,,0.1801801801801801
285,2007-09-29 00:00:00,landslide,rain,medium,unknown,24.1293,92.6921,,Mizoram,825.0,8.7,,3.9189189189189193
3662,2011-06-28 00:00:00,landslide,rain,medium,below_road,25.03561729,94.0144205,,Manipur,873.0,8.3,,13.73873873873874
5427,2013-08-15 00:00:00,landslide,downpour,medium,unknown,25.3833,94.1884,,Nagaland,1683.0,9.2,,10.945945945945947
8339,2015-09-23 00:00:00,landslide,continuous_rain,medium,above_road,26.1666,91.7042,0.0,Assam,231.0,18.0,,0.4504504504504504
4905,2013-06-07 00:00:00,landslide,unknown,medium,unknown,26.0977,94.7031,,Nagaland,1682.0,12.0,,43.55855855855856
9186,2016-07-25 12:30:00,landslide,continuous_rain,medium,above_road,25.48,94.1383,0.0,Manipur,1721.0,15.2,,12.657657657657658
5107,2013-07-15 00:00:00,landslide,rain,medium,unknown,25.6269,94.1139,0.0,Nagaland,1558.0,34.6,,19.954954954954957
5107,2013-07-15 00:00:00,landslide,rain,medium,unknown,25.6269,94.1139,0.0,Nagaland,1558.0,34.6,,19.954954954954957
7253,2015-07-22 00:00:00,landslide,continuous_rain,medium,urban,24.7979,92.9974,5.0,Assam,24.0,32.2,,0.0
6286,2014-09-22 00:00:00,landslide,rain,small,unknown,26.1044,91.7082,0.0,Assam,55.0,45.8,,4.0990990990990985
594,2008-06-19 00:00:00,mudslide,monsoon,medium,unknown,24.9336,93.8275,,Manipur,1023.0,10.5,,5.27027027027027
5337,2013-08-16 00:00:00,landslide,rain,medium,unknown,26.4205,94.9731,,Nagaland,690.0,14.5,,10.09009009009009
5337,2013-08-16 00:00:00,landslide,rain,medium,unknown,26.4205,94.9731,,Nagaland,690.0,14.5,,10.09009009009009
3881,2011-08-05 00:00:00,landslide,downpour,medium,unknown,27.1034,93.6885,0.0,Arunachal Pradesh,147.0,14.5,,0.7657657657657657
3925,2011-08-15 00:00:00,landslide,downpour,medium,unknown,27.4888,93.0153,0.0,Arunachal Pradesh,524.0,91.1,,4.63963963963964
7383,2015-08-01 00:00:00,landslide,rain,medium,unknown,23.899,94.1434,0.0,Manipur,269.0,7.6,,7.027027027027027
8900,2016-07-07 00:00:00,landslide,monsoon,large,above_road,25.0118,94.3136,0.0,Manipur,1372.0,3.0,,5.36036036036036
4757,2013-02-18 00:00:00,landslide,rain,medium,unknown,28.1193,95.1645,3.0,Arunachal Pradesh,823.0,7.8,,27.027027027027028
7666,2015-08-11 00:00:00,landslide,continuous_rain,medium,unknown,25.1019,93.3729,0.0,Manipur,1133.0,10.6,,4.72972972972973
2113,2010-07-21 08:00:00,landslide,downpour,medium,unknown,27.3773,88.559,0.0,Sikkim,1437.0,36.1,,25.135135135135133
2045,2010-07-06 00:00:00,mudslide,monsoon,medium,unknown,26.2363,94.8133,0.0,Nagaland,1560.0,3.0,,16.71171171171171
7701,2015-08-19 15:00:00,landslide,continuous_rain,medium,above_road,25.6278,94.1051,0.0,Nagaland,1508.0,19.5,,32.79279279279279
2422,2010-09-13 00:00:00,landslide,downpour,medium,urban,23.74182634,92.7141905,,Mizoram,929.0,12.9,,9.954954954954957
6513,2014-08-14 23:00:00,mudslide,downpour,medium,unknown,23.0137,91.7174,3.0,Tripura,21.0,12.0,,0.4504504504504504
4990,2013-06-27 23:00:00,landslide,downpour,medium,unknown,27.3765,88.7628,0.0,Sikkim,3764.0,24.2,,3.333333333333333
2248,2010-08-14 00:00:00,landslide,downpour,medium,unknown,26.222,94.9152,0.0,Nagaland,1734.0,28.2,,22.027027027027028
5268,2013-08-04 00:00:00,landslide,continuous_rain,medium,unknown,26.0137,94.5163,,Nagaland,1715.0,10.4,,2.4324324324324325
6106,2014-06-26 23:00:00,landslide,continuous_rain,small,unknown,26.1407,91.7645,3.0,Assam,61.0,26.3,,2.5675675675675675
3965,2011-09-06 08:00:00,landslide,rain,medium,unknown,24.808,93.117,3.0,Assam,38.0,11.1,,0.2702702702702703
6969,2015-06-16 06:15:00,landslide,downpour,medium,urban,25.5114,90.215,4.0,Meghalaya,305.0,21.8,,6.486486486486487
2044,2010-07-06 00:00:00,mudslide,monsoon,medium,unknown,25.8877,94.7861,0.0,Nagaland,1160.0,6.9,,1.2612612612612613
2587,2010-10-10 06:00:00,landslide,downpour,medium,unknown,25.6623,94.1072,0.0,Nagaland,1394.0,1.8,,6.576576576576576
8684,2016-07-07 00:00:00,landslide,continuous_rain,medium,retaining_wall,25.9611,91.3681,2.0,Assam,187.0,,,0.4504504504504504
1596,2010-03-27 20:00:00,mudslide,downpour,medium,unknown,24.7339,93.9161,0.0,Manipur,886.0,2.5,,0.09009009009009
1771,2010-04-20 00:00:00,landslide,downpour,medium,unknown,26.1978,91.7665,0.0,Assam,92.0,45.7,,0.4954954954954955
7364,2015-07-31 09:00:00,landslide,continuous_rain,medium,below_road,24.819,94.3551,0.0,Manipur,1615.0,59.9,,9.864864864864863
6968,2015-06-13 00:00:00,landslide,continuous_rain,medium,unknown,25.463,92.2121,4.0,Meghalaya,1372.0,35.4,,2.1621621621621623
7373,2015-08-01 00:00:00,landslide,continuous_rain,medium,above_road,24.9111,94.4759,,Manipur,1804.0,3.9,,4.90990990990991
4570,2012-09-19 00:00:00,landslide,downpour,medium,unknown,27.8458,95.2253,,Arunachal Pradesh,134.0,50.9,,0.2252252252252252
1935,2010-06-03 00:00:00,landslide,downpour,medium,unknown,23.8986,91.7599,0.0,Tripura,212.0,3.9,,2.4324324324324325
2577,2010-10-09 00:00:00,landslide,downpour,medium,unknown,25.5265,93.8673,0.0,Nagaland,1354.0,17.5,,29.324324324324323
7276,2015-07-25 09:00:00,landslide,continuous_rain,medium,natural_slope,26.1062,91.8717,2.0,Assam,247.0,0.1,,
2576,2010-10-09 00:00:00,landslide,downpour,medium,unknown,25.4788,94.1399,0.0,Nagaland,1660.0,13.3,,13.108108108108109
6293,2014-10-20 00:00:00,landslide,rain,medium,unknown,25.5006,90.0896,6.0,Meghalaya,48.0,0.2,,2.837837837837838
4858,2013-05-11 09:00:00,landslide,rain,medium,unknown,26.1662,91.7138,,Assam,165.0,14.0,,0.6306306306306306
5269,2013-08-04 00:00:00,landslide,continuous_rain,medium,unknown,25.8376,94.5234,,Nagaland,801.0,8.9,,1.0810810810810811
5270,2013-08-04 00:00:00,landslide,continuous_rain,medium,unknown,26.0481,94.4619,,Nagaland,856.0,10.4,,18.6036036036036
6284,2014-09-22 00:00:00,landslide,rain,small,unknown,26.1324,91.8342,0.0,Assam,71.0,58.2,,0.4954954954954955
4394,2012-06-07 04:30:00,landslide,rain,large,unknown,27.1748,88.6458,7.0,Sikkim,930.0,3.9,,37.02702702702703
9251,2016-07-28 23:00:00,landslide,downpour,medium,retaining_wall,25.8702,94.7844,0.0,Nagaland,1129.0,3.4,,14.90990990990991
7699,2015-08-19 00:00:00,landslide,continuous_rain,medium,unknown,26.0214,94.5224,0.0,Nagaland,1603.0,26.3,,10.9009009009009
7664,2015-08-11 00:00:00,landslide,continuous_rain,medium,unknown,24.7459,93.4251,0.0,Manipur,769.0,11.8,,9.72972972972973
7589,2015-08-19 00:00:00,landslide,rain,medium,above_road,25.2568,92.3825,0.0,Meghalaya,802.0,48.6,,1.2162162162162162
7887,2015-08-16 00:00:00,landslide,continuous_rain,medium,above_road,27.8835,96.9262,0.0,Arunachal Pradesh,956.0,16.7,,13.378378378378375
9404,2016-05-01 00:00:00,landslide,downpour,medium,above_road,28.0822,96.5316,0.0,Arunachal Pradesh,543.0,5.1,,4.324324324324325
6287,2014-09-22 00:00:00,landslide,rain,small,unknown,26.1295,91.7056,0.0,Assam,130.0,58.2,,5.63063063063063
2296,2010-08-20 00:00:00,complex,downpour,medium,unknown,27.167,88.3652,0.0,Sikkim,1516.0,70.0,,22.117117117117115
2304,2010-08-21 18:00:00,landslide,downpour,medium,unknown,25.5718,94.1211,0.0,Nagaland,1649.0,5.4,,15.45045045045045
5273,2013-08-04 00:00:00,landslide,monsoon,medium,unknown,26.1807,94.5497,,Nagaland,1658.0,15.0,,15.585585585585584
1125,2009-08-26 00:00:00,landslide,rain,medium,unknown,27.3746,88.7648,,Sikkim,3751.0,10.1,,3.0180180180180183
8995,2016-07-14 00:00:00,landslide,monsoon,small,unknown,26.1963,91.8074,1.0,Assam,196.0,10.4,,1.936936936936937
2567,2010-10-08 00:00:00,complex,downpour,medium,unknown,25.6633,94.4703,0.0,Manipur,1443.0,27.3,,6.171171171171172
3794,2011-07-17 00:00:00,landslide,rain,medium,above_road,26.99195749,88.42280921,,Sikkim,322.0,13.2,,4.504504504504505
6285,2014-09-22 00:00:00,landslide,rain,small,above_road,26.159,91.8178,0.0,Assam,68.0,58.2,,0.1351351351351351
868,2008-10-29 00:00:00,landslide,downpour,medium,unknown,26.3333,91.25,7.0,Assam,42.0,0.0,,0.0
5005,2013-07-01 00:00:00,landslide,downpour,medium,unknown,26.72,95.029,0.0,Nagaland,717.0,17.2,,2.2522522522522523
3860,2011-07-29 00:00:00,landslide,rain,medium,unknown,25.4192,94.108,0.0,Nagaland,1400.0,14.8,,2.2972972972972974
5476,2013-09-07 15:00:00,landslide,rain,medium,unknown,27.3736,88.7323,0.0,Sikkim,3454.0,2.0,,12.927927927927929
1127,2009-08-27 00:00:00,landslide,downpour,medium,unknown,25.1718,93.123,,Assam,693.0,7.3,,5.7657657657657655
5603,2013-10-13 19:30:00,mudslide,downpour,medium,unknown,25.426,94.6024,0.0,Manipur,1311.0,0.0,,9.00900900900901
2042,2010-07-06 00:00:00,mudslide,monsoon,medium,unknown,26.0093,94.5238,0.0,Nagaland,1828.0,3.5,,4.72972972972973
5442,2013-09-02 00:00:00,landslide,downpour,large,unknown,27.1614,93.7525,,Arunachal Pradesh,150.0,12.2,,4.234234234234234
7933,2015-09-01 00:00:00,rock_fall,rain,medium,unknown,26.1868,91.6739,2.0,Assam,50.0,42.7,,0.3153153153153153
3637,2011-06-21 00:00:00,landslide,rain,medium,deforested_slope,25.51614662,94.2341227,,Nagaland,1623.0,17.0,,21.846846846846844
3837,2011-07-24 12:30:00,landslide,downpour,medium,unknown,26.5836,93.0038,0.0,Assam,68.0,7.7,,0.2252252252252252
220,2007-08-31 00:00:00,landslide,rain,medium,unknown,25.1333,93.9667,,Manipur,1009.0,7.9,,4.009009009009009
212,2007-08-26 00:00:00,complex,rain,medium,unknown,25.5576,91.8506,,Meghalaya,1669.0,16.3,,9.684684684684685
7372,2015-07-31 23:00:00,mudslide,continuous_rain,medium,above_road,25.0634,94.3415,0.0,Manipur,1742.0,50.8,,15.585585585585584
2570,2010-10-08 00:00:00,landslide,downpour,medium,unknown,24.837,93.9128,0.0,Manipur,813.0,27.2,,2.1621621621621623
126,2007-07-16 00:00:00,mudslide,rain,medium,unknown,27.1499,88.38,,Sikkim,1099.0,18.7,,5.495495495495495
1168,2009-09-17 00:00:00,landslide,rain,medium,unknown,27.1954,88.6115,,Sikkim,487.0,12.2,,23.063063063063066
3806,2011-07-19 00:00:00,landslide,downpour,medium,unknown,27.1032,93.6884,3.0,Arunachal Pradesh,149.0,10.9,,0.6756756756756757
2026,2010-06-28 00:00:00,landslide,downpour,medium,unknown,25.4916,91.2698,0.0,Meghalaya,1490.0,86.2,,1.1261261261261262
714,2008-08-14 00:00:00,landslide,rain,medium,unknown,27.163,94.0,,Assam,95.0,13.5,,0.4054054054054054
6110,2014-06-27 00:00:00,landslide,rain,small,unknown,26.1619,91.7697,3.0,Assam,55.0,7.0,,6.621621621621622
247,2007-09-08 00:00:00,landslide,rain,medium,unknown,25.0604,93.9877,,Manipur,1485.0,23.5,,0.5405405405405406
4407,2012-06-13 00:00:00,landslide,downpour,medium,unknown,25.0951,92.3567,,Assam,246.0,12.0,,3.783783783783784
3789,2011-07-16 00:00:00,landslide,downpour,medium,unknown,27.2743,92.9064,0.0,Arunachal Pradesh,695.0,5.3,,10.09009009009009
6292,2014-09-23 00:00:00,landslide,continuous_rain,small,unknown,25.7238,89.9032,1.0,Assam,30.0,3.3,,1.2162162162162162
545,2008-05-20 00:00:00,mudslide,mining,medium,unknown,24.9849,92.8411,5.0,Assam,252.0,26.2,,6.801801801801802
7265,2015-07-22 00:00:00,landslide,continuous_rain,medium,above_road,25.5007,93.9854,0.0,Manipur,1437.0,20.6,,16.35135135135135
2436,2010-09-16 03:00:00,landslide,downpour,medium,unknown,24.3069,93.125,0.0,Mizoram,719.0,6.4,,13.01801801801802
7727,2015-08-20 18:00:00,landslide,continuous_rain,medium,below_road,25.6263,94.1057,0.0,Nagaland,1546.0,39.7,,28.693693693693696
7334,2015-08-18 00:00:00,landslide,unknown,medium,unknown,28.1737,94.7596,1.0,Arunachal Pradesh,610.0,50.1,,14.144144144144144
6200,2014-08-17 00:00:00,landslide,downpour,large,unknown,27.0869,93.6086,0.0,Arunachal Pradesh,312.0,11.5,,4.72972972972973
7778,2015-08-26 00:00:00,mudslide,continuous_rain,medium,above_road,23.8447,93.0514,0.0,Mizoram,1053.0,17.4,,0.09009009009009
6290,2014-09-23 03:00:00,landslide,continuous_rain,small,urban,25.5772,91.8666,8.0,Meghalaya,1469.0,76.2,,6.936936936936937
4408,2012-06-13 00:00:00,landslide,downpour,medium,unknown,25.5498,92.0757,,Meghalaya,1245.0,13.9,,5.7207207207207205
4403,2012-06-10 00:00:00,landslide,downpour,very_large,unknown,24.8142,93.5444,,Manipur,562.0,9.9,,2.927927927927928
5429,2013-09-01 18:00:00,landslide,downpour,medium,unknown,27.3425,88.2426,5.0,Sikkim,1382.0,35.9,,42.07207207207207
2140,2010-07-25 00:00:00,landslide,downpour,medium,unknown,25.0477,92.801,0.0,Assam,184.0,9.9,,4.27927927927928
2243,2010-08-13 00:00:00,landslide,downpour,medium,mine,25.70223725,94.04619681,0.0,Nagaland,1016.0,7.8,,20.63063063063063
9142,2016-06-14 08:00:00,landslide,continuous_rain,medium,retaining_wall,26.3185,94.5247,0.0,Nagaland,1171.0,8.5,,13.378378378378375
6107,2014-06-26 23:00:00,landslide,continuous_rain,small,unknown,26.1844,91.7896,1.0,Assam,64.0,26.3,,0.4504504504504504
255,2007-09-10 00:00:00,landslide,rain,medium,unknown,24.2451,94.0691,,Manipur,1349.0,3.8,,9.684684684684685
7660,2015-08-12 00:00:00,mudslide,continuous_rain,medium,below_road,25.6237,94.1136,0.0,Nagaland,1610.0,11.6,,31.17117117117117
4556,2012-09-16 00:00:00,landslide,downpour,medium,unknown,27.1675,88.3651,,Sikkim,1551.0,90.9,,18.693693693693696
7389,2015-08-01 00:00:00,landslide,continuous_rain,medium,above_road,24.4072,94.0644,0.0,Manipur,1148.0,6.6,,3.468468468468469
2437,2010-09-16 00:00:00,landslide,downpour,medium,unknown,23.7527,92.694,0.0,Mizoram,793.0,12.6,,18.24324324324324
731,2008-08-19 00:00:00,mudslide,downpour,medium,unknown,26.138,94.25,4.0,Nagaland,1021.0,36.9,,10.135135135135137
