event_id,event_date,landslide_category,landslide_trigger,landslide_size,landslide_setting,latitude,longitude,fatality_count,state,elevation_m,slope_percent
1755,04/17/2010 03:00:00 PM,landslide,downpour,small,unknown,27.3341,88.6083,0.0,Sikkim,1418.0,32.11711711711712
6990,06/24/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,26.0319,94.5466,0.0,Nagaland,1581.0,10.9009009009009
6222,10/01/2014 11:00:00 AM,landslide,unknown,small,above_road,27.1249,93.7706,5.0,Arunachal Pradesh,151.0,5.45045045045045
9169,06/12/2016 12:00:00 AM,landslide,continuous_rain,unknown,above_road,26.1677,94.2442,0.0,Nagaland,754.0,4.324324324324325
4435,06/25/2012 12:00:00 AM,landslide,downpour,large,unknown,27.174,95.8011,,Arunachal Pradesh,295.0,5.900900900900901
4313,04/08/2012 12:00:00 AM,landslide,downpour,medium,unknown,28.4659,95.86,0.0,Arunachal Pradesh,1026.0,20.585585585585587
2344,08/27/2010 04:30:00 PM,landslide,downpour,medium,unknown,24.7505,93.4221,0.0,Assam,772.0,2.3873873873873874
7263,07/22/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,25.4477,94.0489,0.0,Manipur,1287.0,12.117117117117116
5271,08/04/2013 12:00:00 AM,landslide,continuous_rain,medium,unknown,26.284,94.5808,,Nagaland,728.0,2.3423423423423424
4424,06/20/2012 12:00:00 AM,landslide,downpour,medium,unknown,26.149,91.7351,,Assam,52.0,2.3873873873873874
3525,05/22/2011 12:00:00 AM,landslide,downpour,medium,unknown,25.0672,93.4093,0.0,Assam,460.0,5.135135135135135
7369,08/01/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,24.1988,94.1016,0.0,Manipur,1345.0,4.324324324324325
4892,06/01/2013 12:00:00 AM,landslide,downpour,large,unknown,27.8776,94.25,,Arunachal Pradesh,993.0,16.35135135135135
4377,06/02/2012 12:00:00 AM,landslide,downpour,large,unknown,26.1475,91.7356,,Assam,52.0,3.0180180180180183
5430,09/01/2013 12:00:00 AM,mudslide,continuous_rain,medium,unknown,24.9037,93.487,0.0,Manipur,1272.0,6.936936936936937
7264,07/22/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,25.4538,93.9827,0.0,Manipur,1779.0,37.972972972972975
5006,07/01/2013 12:00:00 AM,landslide,downpour,medium,unknown,26.1147,94.3864,0.0,Nagaland,362.0,3.3333333333333335
256,09/10/2007 12:00:00 AM,landslide,rain,medium,unknown,27.3425,88.6236,,Sikkim,2102.0,33.01801801801802
9335,05/18/2016 08:00:00 AM,landslide,continuous_rain,unknown,unknown,24.5202,92.7239,2.0,Assam,39.0,0.36036036036036034
7279,07/24/2015 12:00:00 AM,mudslide,monsoon,medium,other,24.9818,93.5142,0.0,Manipur,1238.0,11.126126126126126
6288,09/22/2014 12:00:00 AM,landslide,rain,small,unknown,26.1985,91.7998,0.0,Assam,92.0,0.8108108108108109
5087,07/12/2013 12:00:00 AM,landslide,downpour,medium,unknown,25.6269,94.1139,0.0,Nagaland,1558.0,19.954954954954953
258,09/11/2007 12:00:00 AM,landslide,rain,medium,unknown,24.4279,94.0564,3.0,Manipur,885.0,2.1621621621621623
5338,08/16/2013 12:00:00 AM,landslide,rain,medium,unknown,26.8727,94.9275,,Assam,128.0,0.04504504504504504
2411,09/10/2010 12:00:00 AM,landslide,downpour,medium,unknown,27.0011,93.7273,0.0,Arunachal Pradesh,109.0,0.18018018018018017
6143,07/14/2014 06:00:00 PM,landslide,downpour,medium,unknown,23.7327,92.7463,1.0,Mizoram,846.0,5.540540540540541
4908,06/08/2013 05:00:00 PM,landslide,downpour,medium,unknown,27.3721,88.708,0.0,Sikkim,3172.0,55.81081081081081
9124,07/19/2016 12:00:00 AM,translational_slide,continuous_rain,large,natural_slope,25.203,90.5573,0.0,Meghalaya,128.0,9.81981981981982
2282,08/19/2010 06:30:00 AM,landslide,downpour,medium,unknown,26.1984,94.8158,0.0,Nagaland,1849.0,1.5765765765765765
9338,05/18/2016 08:00:00 AM,landslide,continuous_rain,medium,natural_slope,24.4638,92.4943,5.0,Assam,90.0,6.756756756756757
2421,09/13/2010 09:00:00 AM,landslide,downpour,medium,above_road,23.75406693,92.74128531,,Mizoram,994.0,4.63963963963964
2249,08/14/2010 12:00:00 AM,landslide,downpour,medium,unknown,26.0814,94.803,0.0,Nagaland,953.0,2.2072072072072073
8901,07/10/2016 12:00:00 AM,landslide,downpour,medium,above_road,25.7902,94.1318,0.0,Nagaland,1285.0,7.522522522522522
2283,08/19/2010 12:00:00 AM,mudslide,downpour,medium,unknown,24.8961,93.4957,0.0,Manipur,1049.0,0.22522522522522523
4552,09/14/2012 12:00:00 AM,landslide,downpour,medium,unknown,27.0377,88.3603,,Sikkim,1504.0,22.432432432432435
6016,05/09/2014 11:00:00 PM,landslide,rain,small,unknown,24.8669,92.3576,7.0,Assam,18.0,0.09009009009009009
215,08/28/2007 12:00:00 AM,landslide,rain,medium,unknown,25.7428,93.9136,1.0,Nagaland,452.0,8.378378378378379
7780,08/26/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,23.3572,92.7878,1.0,Mizoram,1372.0,14.90990990990991
2281,08/19/2010 06:00:00 PM,landslide,downpour,medium,above_road,25.61560252,94.11603493,,Nagaland,1634.0,23.783783783783786
1996,06/17/2010 07:30:00 PM,landslide,downpour,medium,unknown,26.4333,94.8833,0.0,Nagaland,535.0,2.0720720720720722
6283,09/22/2014 12:00:00 AM,landslide,rain,small,unknown,26.1314,91.7548,0.0,Assam,81.0,0.7657657657657657
8930,07/11/2016 11:00:00 PM,landslide,unknown,large,unknown,26.1699,94.4922,0.0,Nagaland,1134.0,8.603603603603602
869,10/29/2008 12:00:00 AM,landslide,downpour,medium,unknown,27.2333,94.1167,,Assam,91.0,0.18018018018018017
285,09/29/2007 12:00:00 AM,landslide,rain,medium,unknown,24.1293,92.6921,,Mizoram,825.0,3.9189189189189193
3662,06/28/2011 12:00:00 AM,landslide,rain,medium,below_road,25.03561729,94.0144205,,Manipur,873.0,13.73873873873874
5427,08/15/2013 12:00:00 AM,landslide,downpour,medium,unknown,25.3833,94.1884,,Nagaland,1683.0,10.945945945945947
8339,09/23/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,26.1666,91.7042,0.0,Assam,231.0,0.45045045045045046
4905,06/07/2013 12:00:00 AM,landslide,unknown,medium,unknown,26.0977,94.7031,,Nagaland,1682.0,43.55855855855856
9186,07/25/2016 12:30:00 PM,landslide,continuous_rain,medium,above_road,25.48,94.1383,0.0,Manipur,1721.0,12.657657657657658
5107,07/15/2013 12:00:00 AM,landslide,rain,medium,unknown,25.6269,94.1139,0.0,Nagaland,1558.0,19.954954954954953
7253,07/22/2015 12:00:00 AM,landslide,continuous_rain,medium,urban,24.7979,92.9974,5.0,Assam,24.0,0.0
6286,09/22/2014 12:00:00 AM,landslide,rain,small,unknown,26.1044,91.7082,0.0,Assam,55.0,4.0990990990990985
594,06/19/2008 12:00:00 AM,mudslide,monsoon,medium,unknown,24.9336,93.8275,,Manipur,1023.0,5.27027027027027
5337,08/16/2013 12:00:00 AM,landslide,rain,medium,unknown,26.4205,94.9731,,Nagaland,690.0,10.09009009009009
3881,08/05/2011 12:00:00 AM,landslide,downpour,medium,unknown,27.1034,93.6885,0.0,Arunachal Pradesh,147.0,0.7657657657657657
3925,08/15/2011 12:00:00 AM,landslide,downpour,medium,unknown,27.4888,93.0153,0.0,Arunachal Pradesh,524.0,4.63963963963964
7383,08/01/2015 12:00:00 AM,landslide,rain,medium,unknown,23.899,94.1434,0.0,Manipur,269.0,7.027027027027027
8900,07/07/2016 12:00:00 AM,landslide,monsoon,large,above_road,25.0118,94.3136,0.0,Manipur,1372.0,5.36036036036036
4757,02/18/2013 12:00:00 AM,landslide,rain,medium,unknown,28.1193,95.1645,3.0,Arunachal Pradesh,823.0,27.027027027027028
7666,08/11/2015 12:00:00 AM,landslide,continuous_rain,medium,unknown,25.1019,93.3729,0.0,Manipur,1133.0,4.72972972972973
2113,07/21/2010 08:00:00 AM,landslide,downpour,medium,unknown,27.3773,88.559,0.0,Sikkim,1437.0,25.135135135135133
2045,07/06/2010 12:00:00 AM,mudslide,monsoon,medium,unknown,26.2363,94.8133,0.0,Nagaland,1560.0,16.71171171171171
7701,08/19/2015 03:00:00 PM,landslide,continuous_rain,medium,above_road,25.6278,94.1051,0.0,Nagaland,1508.0,32.79279279279279
2422,09/13/2010 12:00:00 AM,landslide,downpour,medium,urban,23.74182634,92.7141905,,Mizoram,929.0,9.954954954954955
6513,08/14/2014 11:00:00 PM,mudslide,downpour,medium,unknown,23.0137,91.7174,3.0,Tripura,21.0,0.45045045045045046
4990,06/27/2013 11:00:00 PM,landslide,downpour,medium,unknown,27.3765,88.7628,0.0,Sikkim,3764.0,3.3333333333333335
2248,08/14/2010 12:00:00 AM,landslide,downpour,medium,unknown,26.222,94.9152,0.0,Nagaland,1734.0,22.027027027027028
5268,08/04/2013 12:00:00 AM,landslide,continuous_rain,medium,unknown,26.0137,94.5163,,Nagaland,1715.0,2.4324324324324325
6106,06/26/2014 11:00:00 PM,landslide,continuous_rain,small,unknown,26.1407,91.7645,3.0,Assam,61.0,2.5675675675675675
3965,09/06/2011 08:00:00 AM,landslide,rain,medium,unknown,24.808,93.117,3.0,Assam,38.0,0.2702702702702703
6969,06/16/2015 06:15:00 AM,landslide,downpour,medium,urban,25.5114,90.215,4.0,Meghalaya,305.0,6.486486486486487
2044,07/06/2010 12:00:00 AM,mudslide,monsoon,medium,unknown,25.8877,94.7861,0.0,Nagaland,1160.0,1.2612612612612613
2587,10/10/2010 06:00:00 AM,landslide,downpour,medium,unknown,25.6623,94.1072,0.0,Nagaland,1394.0,6.576576576576576
8684,07/07/2016 12:00:00 AM,landslide,continuous_rain,medium,retaining_wall,25.9611,91.3681,2.0,Assam,187.0,0.45045045045045046
1596,03/27/2010 08:00:00 PM,mudslide,downpour,medium,unknown,24.7339,93.9161,0.0,Manipur,886.0,0.09009009009009009
1771,04/20/2010 12:00:00 AM,landslide,downpour,medium,unknown,26.1978,91.7665,0.0,Assam,92.0,0.4954954954954955
7364,07/31/2015 09:00:00 AM,landslide,continuous_rain,medium,below_road,24.819,94.3551,0.0,Manipur,1615.0,9.864864864864865
6968,06/13/2015 12:00:00 AM,landslide,continuous_rain,medium,unknown,25.463,92.2121,4.0,Meghalaya,1372.0,2.1621621621621623
7373,08/01/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,24.9111,94.4759,,Manipur,1804.0,4.90990990990991
4570,09/19/2012 12:00:00 AM,landslide,downpour,medium,unknown,27.8458,95.2253,,Arunachal Pradesh,134.0,0.22522522522522523
1935,06/03/2010 12:00:00 AM,landslide,downpour,medium,unknown,23.8986,91.7599,0.0,Tripura,212.0,2.4324324324324325
2577,10/09/2010 12:00:00 AM,landslide,downpour,medium,unknown,25.5265,93.8673,0.0,Nagaland,1354.0,29.324324324324323
7276,07/25/2015 09:00:00 AM,landslide,continuous_rain,medium,natural_slope,26.1062,91.8717,2.0,Assam,247.0,
2576,10/09/2010 12:00:00 AM,landslide,downpour,medium,unknown,25.4788,94.1399,0.0,Nagaland,1660.0,13.108108108108107
6293,10/20/2014 12:00:00 AM,landslide,rain,medium,unknown,25.5006,90.0896,6.0,Meghalaya,48.0,2.837837837837838
4858,05/11/2013 09:00:00 AM,landslide,rain,medium,unknown,26.1662,91.7138,,Assam,165.0,0.6306306306306306
5269,08/04/2013 12:00:00 AM,landslide,continuous_rain,medium,unknown,25.8376,94.5234,,Nagaland,801.0,1.0810810810810811
5270,08/04/2013 12:00:00 AM,landslide,continuous_rain,medium,unknown,26.0481,94.4619,,Nagaland,856.0,18.603603603603602
6284,09/22/2014 12:00:00 AM,landslide,rain,small,unknown,26.1324,91.8342,0.0,Assam,71.0,0.4954954954954955
4394,06/07/2012 04:30:00 AM,landslide,rain,large,unknown,27.1748,88.6458,7.0,Sikkim,930.0,37.027027027027025
9251,07/28/2016 11:00:00 PM,landslide,downpour,medium,retaining_wall,25.8702,94.7844,0.0,Nagaland,1129.0,14.90990990990991
7699,08/19/2015 12:00:00 AM,landslide,continuous_rain,medium,unknown,26.0214,94.5224,0.0,Nagaland,1603.0,10.9009009009009
7664,08/11/2015 12:00:00 AM,landslide,continuous_rain,medium,unknown,24.7459,93.4251,0.0,Manipur,769.0,9.72972972972973
7589,08/19/2015 12:00:00 AM,landslide,rain,medium,above_road,25.2568,92.3825,0.0,Meghalaya,802.0,1.2162162162162162
7887,08/16/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,27.8835,96.9262,0.0,Arunachal Pradesh,956.0,13.378378378378377
9404,05/01/2016 12:00:00 AM,landslide,downpour,medium,above_road,28.0822,96.5316,0.0,Arunachal Pradesh,543.0,4.324324324324325
6287,09/22/2014 12:00:00 AM,landslide,rain,small,unknown,26.1295,91.7056,0.0,Assam,130.0,5.63063063063063
2296,08/20/2010 12:00:00 AM,complex,downpour,medium,unknown,27.167,88.3652,0.0,Sikkim,1516.0,22.117117117117115
2304,08/21/2010 06:00:00 PM,landslide,downpour,medium,unknown,25.5718,94.1211,0.0,Nagaland,1649.0,15.45045045045045
5273,08/04/2013 12:00:00 AM,landslide,monsoon,medium,unknown,26.1807,94.5497,,Nagaland,1658.0,15.585585585585585
1125,08/26/2009 12:00:00 AM,landslide,rain,medium,unknown,27.3746,88.7648,,Sikkim,3751.0,3.0180180180180183
8995,07/14/2016 12:00:00 AM,landslide,monsoon,small,unknown,26.1963,91.8074,1.0,Assam,196.0,1.936936936936937
2567,10/08/2010 12:00:00 AM,complex,downpour,medium,unknown,25.6633,94.4703,0.0,Manipur,1443.0,6.171171171171172
3794,07/17/2011 12:00:00 AM,landslide,rain,medium,above_road,26.99195749,88.42280921,,Sikkim,322.0,4.504504504504505
6285,09/22/2014 12:00:00 AM,landslide,rain,small,above_road,26.159,91.8178,0.0,Assam,68.0,0.13513513513513514
868,10/29/2008 12:00:00 AM,landslide,downpour,medium,unknown,26.3333,91.25,7.0,Assam,42.0,0.0
5005,07/01/2013 12:00:00 AM,landslide,downpour,medium,unknown,26.72,95.029,0.0,Nagaland,717.0,2.2522522522522523
3860,07/29/2011 12:00:00 AM,landslide,rain,medium,unknown,25.4192,94.108,0.0,Nagaland,1400.0,2.2972972972972974
5476,09/07/2013 03:00:00 PM,landslide,rain,medium,unknown,27.3736,88.7323,0.0,Sikkim,3454.0,12.927927927927929
1127,08/27/2009 12:00:00 AM,landslide,downpour,medium,unknown,25.1718,93.123,,Assam,693.0,5.7657657657657655
5603,10/13/2013 07:30:00 PM,mudslide,downpour,medium,unknown,25.426,94.6024,0.0,Manipur,1311.0,9.00900900900901
2042,07/06/2010 12:00:00 AM,mudslide,monsoon,medium,unknown,26.0093,94.5238,0.0,Nagaland,1828.0,4.72972972972973
5442,09/02/2013 12:00:00 AM,landslide,downpour,large,unknown,27.1614,93.7525,,Arunachal Pradesh,150.0,4.234234234234234
7933,09/01/2015 12:00:00 AM,rock_fall,rain,medium,unknown,26.1868,91.6739,2.0,Assam,50.0,0.3153153153153153
3637,06/21/2011 12:00:00 AM,landslide,rain,medium,deforested_slope,25.51614662,94.2341227,,Nagaland,1623.0,21.846846846846844
3837,07/24/2011 12:30:00 PM,landslide,downpour,medium,unknown,26.5836,93.0038,0.0,Assam,68.0,0.22522522522522523
220,08/31/2007 12:00:00 AM,landslide,rain,medium,unknown,25.1333,93.9667,,Manipur,1009.0,4.009009009009009
212,08/26/2007 12:00:00 AM,complex,rain,medium,unknown,25.5576,91.8506,,Meghalaya,1669.0,9.684684684684685
7372,07/31/2015 11:00:00 PM,mudslide,continuous_rain,medium,above_road,25.0634,94.3415,0.0,Manipur,1742.0,15.585585585585585
2570,10/08/2010 12:00:00 AM,landslide,downpour,medium,unknown,24.837,93.9128,0.0,Manipur,813.0,2.1621621621621623
126,07/16/2007 12:00:00 AM,mudslide,rain,medium,unknown,27.1499,88.38,,Sikkim,1099.0,5.495495495495495
1168,09/17/2009 12:00:00 AM,landslide,rain,medium,unknown,27.1954,88.6115,,Sikkim,487.0,23.063063063063062
3806,07/19/2011 12:00:00 AM,landslide,downpour,medium,unknown,27.1032,93.6884,3.0,Arunachal Pradesh,149.0,0.6756756756756757
2026,06/28/2010 12:00:00 AM,landslide,downpour,medium,unknown,25.4916,91.2698,0.0,Meghalaya,1490.0,1.1261261261261262
714,08/14/2008 12:00:00 AM,landslide,rain,medium,unknown,27.163,94.0,,Assam,95.0,0.40540540540540543
6110,06/27/2014 12:00:00 AM,landslide,rain,small,unknown,26.1619,91.7697,3.0,Assam,55.0,6.621621621621622
247,09/08/2007 12:00:00 AM,landslide,rain,medium,unknown,25.0604,93.9877,,Manipur,1485.0,0.5405405405405406
4407,06/13/2012 12:00:00 AM,landslide,downpour,medium,unknown,25.0951,92.3567,,Assam,246.0,3.783783783783784
3789,07/16/2011 12:00:00 AM,landslide,downpour,medium,unknown,27.2743,92.9064,0.0,Arunachal Pradesh,695.0,10.09009009009009
6292,09/23/2014 12:00:00 AM,landslide,continuous_rain,small,unknown,25.7238,89.9032,1.0,Assam,30.0,1.2162162162162162
545,05/20/2008 12:00:00 AM,mudslide,mining,medium,unknown,24.9849,92.8411,5.0,Assam,252.0,6.801801801801802
7265,07/22/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,25.5007,93.9854,0.0,Manipur,1437.0,16.35135135135135
2436,09/16/2010 03:00:00 AM,landslide,downpour,medium,unknown,24.3069,93.125,0.0,Mizoram,719.0,13.018018018018019
7727,08/20/2015 06:00:00 PM,landslide,continuous_rain,medium,below_road,25.6263,94.1057,0.0,Nagaland,1546.0,28.693693693693696
7334,08/18/2015 12:00:00 AM,landslide,unknown,medium,unknown,28.1737,94.7596,1.0,Arunachal Pradesh,610.0,14.144144144144144
6200,08/17/2014 12:00:00 AM,landslide,downpour,large,unknown,27.0869,93.6086,0.0,Arunachal Pradesh,312.0,4.72972972972973
7778,08/26/2015 12:00:00 AM,mudslide,continuous_rain,medium,above_road,23.8447,93.0514,0.0,Mizoram,1053.0,0.09009009009009009
6290,09/23/2014 03:00:00 AM,landslide,continuous_rain,small,urban,25.5772,91.8666,8.0,Meghalaya,1469.0,6.936936936936937
4408,06/13/2012 12:00:00 AM,landslide,downpour,medium,unknown,25.5498,92.0757,,Meghalaya,1245.0,5.7207207207207205
4403,06/10/2012 12:00:00 AM,landslide,downpour,very_large,unknown,24.8142,93.5444,,Manipur,562.0,2.9279279279279278
5429,09/01/2013 06:00:00 PM,landslide,downpour,medium,unknown,27.3425,88.2426,5.0,Sikkim,1382.0,42.07207207207207
2140,07/25/2010 12:00:00 AM,landslide,downpour,medium,unknown,25.0477,92.801,0.0,Assam,184.0,4.2792792792792795
2243,08/13/2010 12:00:00 AM,landslide,downpour,medium,mine,25.70223725,94.04619681,0.0,Nagaland,1016.0,20.63063063063063
9142,06/14/2016 08:00:00 AM,landslide,continuous_rain,medium,retaining_wall,26.3185,94.5247,0.0,Nagaland,1171.0,13.378378378378377
6107,06/26/2014 11:00:00 PM,landslide,continuous_rain,small,unknown,26.1844,91.7896,1.0,Assam,64.0,0.45045045045045046
255,09/10/2007 12:00:00 AM,landslide,rain,medium,unknown,24.2451,94.0691,,Manipur,1349.0,9.684684684684685
7660,08/12/2015 12:00:00 AM,mudslide,continuous_rain,medium,below_road,25.6237,94.1136,0.0,Nagaland,1610.0,31.17117117117117
4556,09/16/2012 12:00:00 AM,landslide,downpour,medium,unknown,27.1675,88.3651,,Sikkim,1551.0,18.693693693693696
7389,08/01/2015 12:00:00 AM,landslide,continuous_rain,medium,above_road,24.4072,94.0644,0.0,Manipur,1148.0,3.4684684684684686
2437,09/16/2010 12:00:00 AM,landslide,downpour,medium,unknown,23.7527,92.694,0.0,Mizoram,793.0,18.243243243243242
731,08/19/2008 12:00:00 AM,mudslide,downpour,medium,unknown,26.138,94.25,4.0,Nagaland,1021.0,10.135135135135135
7371,08/01/2015 12:00:00 AM,landslide,continuous_rain,medium,unknown,23.9939,94.0573,0.0,Manipur,968.0,
7923,09/01/2015 12:00:00 AM,landslide,rain,medium,unknown,26.49349035,91.72137514,2.0,Assam,62.0,0.09009009009009009
760,08/29/2008 12:00:00 AM,complex,downpour,medium,unknown,25.67,94.1066,,Nagaland,1408.0,1.3063063063063063
2182,07/31/2010 09:00:00 AM,landslide,rain,medium,unknown,24.9356,93.8443,0.0,Manipur,850.0,1.2162162162162162
1954,06/07/2010 12:00:00 AM,landslide,rain,medium,unknown,24.7543,93.5039,0.0,Manipur,422.0,22.07207207207207
6963,06/19/2015 12:00:00 AM,landslide,rain,medium,natural_slope,23.7131,92.7362,0.0,Mizoram,879.0,5.495495495495495
5336,08/16/2013 12:00:00 AM,landslide,rain,medium,unknown,26.3897,94.9439,,Nagaland,514.0,4.90990990990991
7590,08/19/2015 12:00:00 AM,landslide,rain,small,unknown,25.1416,92.3807,0.0,Meghalaya,172.0,14.234234234234233
1222,10/05/2009 12:00:00 AM,landslide,downpour,medium,urban,23.73478778,92.72124394,3.0,Mizoram,972.0,4.864864864864865
